[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.825632	valid_1's auc: 0.825564
[52]	training's auc: 0.873601	valid_1's auc: 0.858151
[53]	training's auc: 0.873866	valid_1's auc: 0.85816
[54]	training's auc: 0.874272	valid_1's auc: 0.858226
[55]	training's auc: 0.874469	valid_1's auc: 0.85829
[56]	training's auc: 0.874696	valid_1's auc: 0.858373
[57]	training's auc: 0.875011	valid_1's auc: 0.858414
[58]	training's auc: 0.875264	valid_1's auc: 0.858446
[59]	training's auc: 0.875536	valid_1's auc: 0.858475
[60]	training's auc: 0.875704	valid_1's auc: 0.858472
[61]	training's auc: 0.875872	valid_1's auc: 0.858443
[62]	training's auc: 0.876149	valid_1's auc: 0.858497
[63]	training's auc: 0.876462	valid_1's auc: 0.858485
[64]	training's auc: 0.87661	valid_1's auc: 0.85849
[65]	training's auc: 0.876877	valid_1's auc: 0.858495
[66]	training's auc: 0.877107	valid_1's auc: 0.858478
[67]	training's auc: 0.877398	valid_1's auc: 0.858565
[68]	training's auc: 0.877694	valid_1's auc: 0.858619
[69]	training's auc: 0.877898	valid_1's auc: 0.858743
[70]	training's auc: 0.878065	valid_1's auc: 0.858697
[71]	training's auc: 0.878371	valid_1's auc: 0.858836
[72]	training's auc: 0.878566	valid_1's auc: 0.85886
[73]	training's auc: 0.878704	valid_1's auc: 0.858837
[74]	training's auc: 0.878989	valid_1's auc: 0.858812
[75]	training's auc: 0.879172	valid_1's auc: 0.858782
[76]	training's auc: 0.879494	valid_1's auc: 0.858861
[77]	training's auc: 0.879758	valid_1's auc: 0.858957
[78]	training's auc: 0.879914	valid_1's auc: 0.859011
[79]	training's auc: 0.880057	valid_1's auc: 0.859037
[80]	training's auc: 0.880328	valid_1's auc: 0.8591
[81]	training's auc: 0.880499	valid_1's auc: 0.859178
[82]	training's auc: 0.880829	valid_1's auc: 0.85926
[83]	training's auc: 0.880984	valid_1's auc: 0.859268
[84]	training's auc: 0.881145	valid_1's auc: 0.859252
[85]	training's auc: 0.881281	valid_1's auc: 0.859222
[86]	training's auc: 0.881515	valid_1's auc: 0.859199
[87]	training's auc: 0.881757	valid_1's auc: 0.859277
[88]	training's auc: 0.881884	valid_1's auc: 0.859253
[89]	training's auc: 0.882157	valid_1's auc: 0.859385
[90]	training's auc: 0.882349	valid_1's auc: 0.859345
[91]	training's auc: 0.882536	valid_1's auc: 0.859384
[92]	training's auc: 0.882752	valid_1's auc: 0.859414
[93]	training's auc: 0.883022	valid_1's auc: 0.859435
[94]	training's auc: 0.883171	valid_1's auc: 0.85944
[95]	training's auc: 0.883375	valid_1's auc: 0.859427
[96]	training's auc: 0.883583	valid_1's auc: 0.859451
[97]	training's auc: 0.883752	valid_1's auc: 0.85945
[98]	training's auc: 0.884013	valid_1's auc: 0.85945
[99]	training's auc: 0.884157	valid_1's auc: 0.859413
[100]	training's auc: 0.884303	valid_1's auc: 0.859413
[101]	training's auc: 0.884427	valid_1's auc: 0.859403
[102]	training's auc: 0.884688	valid_1's auc: 0.859465
[103]	training's auc: 0.884896	valid_1's auc: 0.859468
[104]	training's auc: 0.885094	valid_1's auc: 0.859482
[105]	training's auc: 0.88523	valid_1's auc: 0.859477
[106]	training's auc: 0.885373	valid_1's auc: 0.8595
[107]	training's auc: 0.885505	valid_1's auc: 0.859472
[108]	training's auc: 0.885711	valid_1's auc: 0.859439
[109]	training's auc: 0.885834	valid_1's auc: 0.859439
[110]	training's auc: 0.886038	valid_1's auc: 0.859457
[111]	training's auc: 0.886163	valid_1's auc: 0.859468
[112]	training's auc: 0.886304	valid_1's auc: 0.859454
[113]	training's auc: 0.886391	valid_1's auc: 0.859432
[114]	training's auc: 0.886554	valid_1's auc: 0.859437
[115]	training's auc: 0.886729	valid_1's auc: 0.859403
[116]	training's auc: 0.886889	valid_1's auc: 0.859395
[117]	training's auc: 0.886984	valid_1's auc: 0.859385
[118]	training's auc: 0.887101	valid_1's auc: 0.859374
[119]	training's auc: 0.887276	valid_1's auc: 0.859396
[120]	training's auc: 0.88753	valid_1's auc: 0.859479
[121]	training's auc: 0.887651	valid_1's auc: 0.859506
[122]	training's auc: 0.887781	valid_1's auc: 0.859487
[123]	training's auc: 0.887956	valid_1's auc: 0.859511
[124]	training's auc: 0.888029	valid_1's auc: 0.859504
[125]	training's auc: 0.888108	valid_1's auc: 0.859484
[126]	training's auc: 0.888255	valid_1's auc: 0.859421
[127]	training's auc: 0.888454	valid_1's auc: 0.859402
[128]	training's auc: 0.888681	valid_1's auc: 0.859434
[129]	training's auc: 0.888878	valid_1's auc: 0.859429
[130]	training's auc: 0.889086	valid_1's auc: 0.859424
[131]	training's auc: 0.889245	valid_1's auc: 0.859394
[132]	training's auc: 0.889493	valid_1's auc: 0.859478
[133]	training's auc: 0.889635	valid_1's auc: 0.859473
[134]	training's auc: 0.889739	valid_1's auc: 0.859458
[135]	training's auc: 0.889859	valid_1's auc: 0.859434
[136]	training's auc: 0.890036	valid_1's auc: 0.859464
[137]	training's auc: 0.890215	valid_1's auc: 0.859477
[138]	training's auc: 0.890365	valid_1's auc: 0.859449
[139]	training's auc: 0.890567	valid_1's auc: 0.859449
[140]	training's auc: 0.890657	valid_1's auc: 0.859455
[141]	training's auc: 0.890812	valid_1's auc: 0.859468
[142]	training's auc: 0.890969	valid_1's auc: 0.859483
[143]	training's auc: 0.89112	valid_1's auc: 0.859485
[144]	training's auc: 0.891256	valid_1's auc: 0.859472
[145]	training's auc: 0.891406	valid_1's auc: 0.859465
[146]	training's auc: 0.891526	valid_1's auc: 0.859463
[147]	training's auc: 0.891636	valid_1's auc: 0.859469
[148]	training's auc: 0.891844	valid_1's auc: 0.859463
[149]	training's auc: 0.891945	valid_1's auc: 0.85948
[150]	training's auc: 0.892192	valid_1's auc: 0.85956
[151]	training's auc: 0.892354	valid_1's auc: 0.859543
[152]	training's auc: 0.892535	valid_1's auc: 0.85958
[153]	training's auc: 0.892626	valid_1's auc: 0.85961
[154]	training's auc: 0.892813	valid_1's auc: 0.859568
[155]	training's auc: 0.892893	valid_1's auc: 0.859543
[156]	training's auc: 0.89296	valid_1's auc: 0.859565
[157]	training's auc: 0.89309	valid_1's auc: 0.859543
[158]	training's auc: 0.893163	valid_1's auc: 0.859535
[159]	training's auc: 0.893377	valid_1's auc: 0.859504
[160]	training's auc: 0.893517	valid_1's auc: 0.859527
[161]	training's auc: 0.893666	valid_1's auc: 0.859511
[162]	training's auc: 0.893823	valid_1's auc: 0.859491
[163]	training's auc: 0.893957	valid_1's auc: 0.859519
[164]	training's auc: 0.894085	valid_1's auc: 0.859493
[165]	training's auc: 0.894247	valid_1's auc: 0.859516
[166]	training's auc: 0.89436	valid_1's auc: 0.859487
[167]	training's auc: 0.894447	valid_1's auc: 0.859494
[168]	training's auc: 0.894601	valid_1's auc: 0.859475
[169]	training's auc: 0.894709	valid_1's auc: 0.85949
[170]	training's auc: 0.894813	valid_1's auc: 0.859494
[171]	training's auc: 0.894878	valid_1's auc: 0.859501
[172]	training's auc: 0.894978	valid_1's auc: 0.859502
[173]	training's auc: 0.895178	valid_1's auc: 0.859519
[174]	training's auc: 0.895282	valid_1's auc: 0.859478
[175]	training's auc: 0.895477	valid_1's auc: 0.859466
[176]	training's auc: 0.895654	valid_1's auc: 0.859457
[177]	training's auc: 0.89582	valid_1's auc: 0.859472
[178]	training's auc: 0.895919	valid_1's auc: 0.859445
[179]	training's auc: 0.896143	valid_1's auc: 0.85943
[180]	training's auc: 0.896281	valid_1's auc: 0.859437
[181]	training's auc: 0.896357	valid_1's auc: 0.859436
[182]	training's auc: 0.896471	valid_1's auc: 0.85941
[183]	training's auc: 0.896591	valid_1's auc: 0.859395
Early stopping, best iteration is:
[153]	training's auc: 0.892626	valid_1's auc: 0.85961
VALID AUC : 0.8596097005304318 ACC : 0.8042462876744064
