[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.818481	valid_1's auc: 0.819845
[42]	training's auc: 0.862616	valid_1's auc: 0.855502
[43]	training's auc: 0.86274	valid_1's auc: 0.855491
[44]	training's auc: 0.862972	valid_1's auc: 0.855647
[45]	training's auc: 0.863192	valid_1's auc: 0.855662
[46]	training's auc: 0.863322	valid_1's auc: 0.855679
[47]	training's auc: 0.863583	valid_1's auc: 0.855687
[48]	training's auc: 0.86383	valid_1's auc: 0.855715
[49]	training's auc: 0.86405	valid_1's auc: 0.855824
[50]	training's auc: 0.864149	valid_1's auc: 0.855802
[51]	training's auc: 0.864285	valid_1's auc: 0.855796
[52]	training's auc: 0.864385	valid_1's auc: 0.855772
[53]	training's auc: 0.864483	valid_1's auc: 0.855756
[54]	training's auc: 0.864711	valid_1's auc: 0.855776
[55]	training's auc: 0.865022	valid_1's auc: 0.855907
[56]	training's auc: 0.865179	valid_1's auc: 0.855858
[57]	training's auc: 0.865413	valid_1's auc: 0.855954
[58]	training's auc: 0.86572	valid_1's auc: 0.856097
[59]	training's auc: 0.866014	valid_1's auc: 0.856175
[60]	training's auc: 0.866128	valid_1's auc: 0.856168
[61]	training's auc: 0.866242	valid_1's auc: 0.856141
[62]	training's auc: 0.866319	valid_1's auc: 0.856122
[63]	training's auc: 0.866425	valid_1's auc: 0.856083
[64]	training's auc: 0.866675	valid_1's auc: 0.856127
[65]	training's auc: 0.866952	valid_1's auc: 0.856272
[66]	training's auc: 0.867245	valid_1's auc: 0.85636
[67]	training's auc: 0.867364	valid_1's auc: 0.856339
[68]	training's auc: 0.86742	valid_1's auc: 0.856306
[69]	training's auc: 0.867625	valid_1's auc: 0.856261
[70]	training's auc: 0.867691	valid_1's auc: 0.856245
[71]	training's auc: 0.867786	valid_1's auc: 0.856239
[72]	training's auc: 0.867856	valid_1's auc: 0.856231
[73]	training's auc: 0.867978	valid_1's auc: 0.856238
[74]	training's auc: 0.868137	valid_1's auc: 0.85634
[75]	training's auc: 0.868388	valid_1's auc: 0.856421
[76]	training's auc: 0.868572	valid_1's auc: 0.856422
[77]	training's auc: 0.868646	valid_1's auc: 0.856383
[78]	training's auc: 0.868756	valid_1's auc: 0.856371
[79]	training's auc: 0.868995	valid_1's auc: 0.856408
[80]	training's auc: 0.86928	valid_1's auc: 0.856483
[81]	training's auc: 0.869384	valid_1's auc: 0.856488
[82]	training's auc: 0.869463	valid_1's auc: 0.856477
[83]	training's auc: 0.869811	valid_1's auc: 0.85665
[84]	training's auc: 0.869889	valid_1's auc: 0.856623
[85]	training's auc: 0.869961	valid_1's auc: 0.856604
[86]	training's auc: 0.870182	valid_1's auc: 0.856688
[87]	training's auc: 0.870323	valid_1's auc: 0.856662
[88]	training's auc: 0.870343	valid_1's auc: 0.856666
[89]	training's auc: 0.870514	valid_1's auc: 0.85669
[90]	training's auc: 0.87075	valid_1's auc: 0.85677
[91]	training's auc: 0.870848	valid_1's auc: 0.85676
[92]	training's auc: 0.870951	valid_1's auc: 0.856755
[93]	training's auc: 0.871019	valid_1's auc: 0.856733
[94]	training's auc: 0.871104	valid_1's auc: 0.856745
[95]	training's auc: 0.871151	valid_1's auc: 0.85675
[96]	training's auc: 0.871412	valid_1's auc: 0.856824
[97]	training's auc: 0.871513	valid_1's auc: 0.856841
[98]	training's auc: 0.871733	valid_1's auc: 0.856874
[99]	training's auc: 0.87193	valid_1's auc: 0.856872
[100]	training's auc: 0.872102	valid_1's auc: 0.856885
[101]	training's auc: 0.872204	valid_1's auc: 0.85693
[102]	training's auc: 0.872288	valid_1's auc: 0.856958
[103]	training's auc: 0.872409	valid_1's auc: 0.856951
[104]	training's auc: 0.872546	valid_1's auc: 0.856953
[105]	training's auc: 0.872587	valid_1's auc: 0.85696
[106]	training's auc: 0.872625	valid_1's auc: 0.856938
[107]	training's auc: 0.872717	valid_1's auc: 0.856935
[108]	training's auc: 0.872761	valid_1's auc: 0.856935
[109]	training's auc: 0.872971	valid_1's auc: 0.856941
[110]	training's auc: 0.873199	valid_1's auc: 0.857022
[111]	training's auc: 0.873316	valid_1's auc: 0.857024
[112]	training's auc: 0.873421	valid_1's auc: 0.857068
[113]	training's auc: 0.873468	valid_1's auc: 0.857084
[114]	training's auc: 0.873589	valid_1's auc: 0.857103
[115]	training's auc: 0.873608	valid_1's auc: 0.8571
[116]	training's auc: 0.873745	valid_1's auc: 0.857074
[117]	training's auc: 0.873804	valid_1's auc: 0.857066
[118]	training's auc: 0.873871	valid_1's auc: 0.857059
[119]	training's auc: 0.87411	valid_1's auc: 0.857125
[120]	training's auc: 0.874213	valid_1's auc: 0.857132
[121]	training's auc: 0.874335	valid_1's auc: 0.857112
[122]	training's auc: 0.874359	valid_1's auc: 0.857135
[123]	training's auc: 0.874395	valid_1's auc: 0.857135
[124]	training's auc: 0.874454	valid_1's auc: 0.857137
[125]	training's auc: 0.874748	valid_1's auc: 0.857192
[126]	training's auc: 0.874818	valid_1's auc: 0.857188
[127]	training's auc: 0.874895	valid_1's auc: 0.857194
[128]	training's auc: 0.874955	valid_1's auc: 0.857189
[129]	training's auc: 0.875007	valid_1's auc: 0.857169
[130]	training's auc: 0.875279	valid_1's auc: 0.857273
[131]	training's auc: 0.875394	valid_1's auc: 0.857276
[132]	training's auc: 0.875446	valid_1's auc: 0.857225
[133]	training's auc: 0.875606	valid_1's auc: 0.857231
[134]	training's auc: 0.875612	valid_1's auc: 0.857225
[135]	training's auc: 0.875648	valid_1's auc: 0.857196
[136]	training's auc: 0.875768	valid_1's auc: 0.857217
[137]	training's auc: 0.875836	valid_1's auc: 0.857213
[138]	training's auc: 0.875929	valid_1's auc: 0.857203
[139]	training's auc: 0.876044	valid_1's auc: 0.857245
[140]	training's auc: 0.876095	valid_1's auc: 0.857214
[141]	training's auc: 0.876166	valid_1's auc: 0.85725
[142]	training's auc: 0.876311	valid_1's auc: 0.857241
[143]	training's auc: 0.876318	valid_1's auc: 0.857236
[144]	training's auc: 0.876398	valid_1's auc: 0.857225
[145]	training's auc: 0.876464	valid_1's auc: 0.857234
[146]	training's auc: 0.876522	valid_1's auc: 0.85725
[147]	training's auc: 0.87657	valid_1's auc: 0.857248
[148]	training's auc: 0.876626	valid_1's auc: 0.85726
[149]	training's auc: 0.876811	valid_1's auc: 0.857321
[150]	training's auc: 0.876815	valid_1's auc: 0.857322
[151]	training's auc: 0.876866	valid_1's auc: 0.857321
[152]	training's auc: 0.876906	valid_1's auc: 0.857303
[153]	training's auc: 0.877018	valid_1's auc: 0.857306
[154]	training's auc: 0.877141	valid_1's auc: 0.857267
[155]	training's auc: 0.877176	valid_1's auc: 0.857266
[156]	training's auc: 0.877215	valid_1's auc: 0.857262
[157]	training's auc: 0.877307	valid_1's auc: 0.857251
[158]	training's auc: 0.877356	valid_1's auc: 0.857227
[159]	training's auc: 0.877453	valid_1's auc: 0.857254
[160]	training's auc: 0.877499	valid_1's auc: 0.857253
[161]	training's auc: 0.877518	valid_1's auc: 0.857278
[162]	training's auc: 0.877586	valid_1's auc: 0.857277
[163]	training's auc: 0.877654	valid_1's auc: 0.857255
[164]	training's auc: 0.877724	valid_1's auc: 0.857276
[165]	training's auc: 0.87777	valid_1's auc: 0.857285
[166]	training's auc: 0.877812	valid_1's auc: 0.857291
[167]	training's auc: 0.877951	valid_1's auc: 0.857259
[168]	training's auc: 0.878176	valid_1's auc: 0.857278
[169]	training's auc: 0.87834	valid_1's auc: 0.857263
[170]	training's auc: 0.878403	valid_1's auc: 0.857244
[171]	training's auc: 0.878446	valid_1's auc: 0.857246
[172]	training's auc: 0.878539	valid_1's auc: 0.857241
[173]	training's auc: 0.878572	valid_1's auc: 0.857256
[174]	training's auc: 0.878641	valid_1's auc: 0.857259
