[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.764857	valid_1's auc: 0.717832
[40]	training's auc: 0.858614	valid_1's auc: 0.82435
[41]	training's auc: 0.859032	valid_1's auc: 0.824595
[42]	training's auc: 0.859429	valid_1's auc: 0.825031
[43]	training's auc: 0.859689	valid_1's auc: 0.825401
[44]	training's auc: 0.859972	valid_1's auc: 0.825707
[45]	training's auc: 0.860303	valid_1's auc: 0.825864
[46]	training's auc: 0.860713	valid_1's auc: 0.825925
[47]	training's auc: 0.860813	valid_1's auc: 0.82607
[48]	training's auc: 0.861078	valid_1's auc: 0.826222
[49]	training's auc: 0.861356	valid_1's auc: 0.826278
[50]	training's auc: 0.861669	valid_1's auc: 0.826335
[51]	training's auc: 0.861978	valid_1's auc: 0.8267
[52]	training's auc: 0.862142	valid_1's auc: 0.826919
[53]	training's auc: 0.862468	valid_1's auc: 0.827158
[54]	training's auc: 0.862695	valid_1's auc: 0.82737
[55]	training's auc: 0.862918	valid_1's auc: 0.827761
[56]	training's auc: 0.86315	valid_1's auc: 0.827884
[57]	training's auc: 0.863387	valid_1's auc: 0.827937
[58]	training's auc: 0.863599	valid_1's auc: 0.828006
[59]	training's auc: 0.863784	valid_1's auc: 0.828206
[60]	training's auc: 0.864095	valid_1's auc: 0.828244
[61]	training's auc: 0.864159	valid_1's auc: 0.828429
[62]	training's auc: 0.864306	valid_1's auc: 0.828463
[63]	training's auc: 0.864477	valid_1's auc: 0.828632
[64]	training's auc: 0.86463	valid_1's auc: 0.828725
[65]	training's auc: 0.864746	valid_1's auc: 0.828733
[66]	training's auc: 0.864823	valid_1's auc: 0.828811
[67]	training's auc: 0.864872	valid_1's auc: 0.828933
[68]	training's auc: 0.864965	valid_1's auc: 0.829011
[69]	training's auc: 0.865094	valid_1's auc: 0.829005
[70]	training's auc: 0.865277	valid_1's auc: 0.829079
[71]	training's auc: 0.865388	valid_1's auc: 0.828972
[72]	training's auc: 0.865443	valid_1's auc: 0.82903
[73]	training's auc: 0.865528	valid_1's auc: 0.829075
[74]	training's auc: 0.865724	valid_1's auc: 0.829268
[75]	training's auc: 0.86577	valid_1's auc: 0.829345
[76]	training's auc: 0.86588	valid_1's auc: 0.829319
[77]	training's auc: 0.866063	valid_1's auc: 0.829333
[78]	training's auc: 0.866141	valid_1's auc: 0.829451
[79]	training's auc: 0.866258	valid_1's auc: 0.82954
[80]	training's auc: 0.866336	valid_1's auc: 0.829517
[81]	training's auc: 0.866423	valid_1's auc: 0.829656
[82]	training's auc: 0.86646	valid_1's auc: 0.829714
[83]	training's auc: 0.866554	valid_1's auc: 0.829655
[84]	training's auc: 0.866638	valid_1's auc: 0.829612
[85]	training's auc: 0.866701	valid_1's auc: 0.829533
[86]	training's auc: 0.866881	valid_1's auc: 0.82949
[87]	training's auc: 0.866932	valid_1's auc: 0.829604
[88]	training's auc: 0.866973	valid_1's auc: 0.829465
[89]	training's auc: 0.867112	valid_1's auc: 0.829755
[90]	training's auc: 0.867131	valid_1's auc: 0.829722
[91]	training's auc: 0.867257	valid_1's auc: 0.8297
[92]	training's auc: 0.867343	valid_1's auc: 0.829682
[93]	training's auc: 0.867413	valid_1's auc: 0.829755
[94]	training's auc: 0.867579	valid_1's auc: 0.829845
[95]	training's auc: 0.867677	valid_1's auc: 0.829815
[96]	training's auc: 0.86773	valid_1's auc: 0.829953
[97]	training's auc: 0.867817	valid_1's auc: 0.829952
[98]	training's auc: 0.867927	valid_1's auc: 0.82997
[99]	training's auc: 0.868026	valid_1's auc: 0.83007
[100]	training's auc: 0.868098	valid_1's auc: 0.830006
[101]	training's auc: 0.868226	valid_1's auc: 0.830077
[102]	training's auc: 0.868338	valid_1's auc: 0.83012
[103]	training's auc: 0.868432	valid_1's auc: 0.830171
[104]	training's auc: 0.868523	valid_1's auc: 0.830156
[105]	training's auc: 0.868588	valid_1's auc: 0.83011
[106]	training's auc: 0.868696	valid_1's auc: 0.830086
[107]	training's auc: 0.868763	valid_1's auc: 0.830235
[108]	training's auc: 0.868813	valid_1's auc: 0.830341
[109]	training's auc: 0.868911	valid_1's auc: 0.830433
[110]	training's auc: 0.868967	valid_1's auc: 0.830503
[111]	training's auc: 0.869032	valid_1's auc: 0.830524
[112]	training's auc: 0.869134	valid_1's auc: 0.830455
[113]	training's auc: 0.869193	valid_1's auc: 0.830535
[114]	training's auc: 0.869288	valid_1's auc: 0.830564
[115]	training's auc: 0.869301	valid_1's auc: 0.830527
[116]	training's auc: 0.86934	valid_1's auc: 0.830503
[117]	training's auc: 0.869424	valid_1's auc: 0.830435
[118]	training's auc: 0.869458	valid_1's auc: 0.830531
[119]	training's auc: 0.869545	valid_1's auc: 0.830532
[120]	training's auc: 0.869575	valid_1's auc: 0.830465
[121]	training's auc: 0.869614	valid_1's auc: 0.830477
[122]	training's auc: 0.869642	valid_1's auc: 0.830442
[123]	training's auc: 0.869735	valid_1's auc: 0.83047
[124]	training's auc: 0.869743	valid_1's auc: 0.830421
[125]	training's auc: 0.869813	valid_1's auc: 0.830389
[126]	training's auc: 0.869866	valid_1's auc: 0.830435
[127]	training's auc: 0.869888	valid_1's auc: 0.830388
[128]	training's auc: 0.869974	valid_1's auc: 0.830389
[129]	training's auc: 0.870019	valid_1's auc: 0.83051
[130]	training's auc: 0.870105	valid_1's auc: 0.83056
[131]	training's auc: 0.870189	valid_1's auc: 0.830654
[132]	training's auc: 0.870208	valid_1's auc: 0.83068
[133]	training's auc: 0.870319	valid_1's auc: 0.830849
[134]	training's auc: 0.870416	valid_1's auc: 0.830881
[135]	training's auc: 0.87042	valid_1's auc: 0.83089
[136]	training's auc: 0.870471	valid_1's auc: 0.830946
[137]	training's auc: 0.870561	valid_1's auc: 0.830995
[138]	training's auc: 0.87056	valid_1's auc: 0.830998
[139]	training's auc: 0.870675	valid_1's auc: 0.831173
[140]	training's auc: 0.870759	valid_1's auc: 0.831217
[141]	training's auc: 0.870809	valid_1's auc: 0.831286
[142]	training's auc: 0.870919	valid_1's auc: 0.831242
[143]	training's auc: 0.870942	valid_1's auc: 0.831221
[144]	training's auc: 0.870963	valid_1's auc: 0.831195
[145]	training's auc: 0.870996	valid_1's auc: 0.831174
[146]	training's auc: 0.871003	valid_1's auc: 0.831144
[147]	training's auc: 0.871068	valid_1's auc: 0.831076
[148]	training's auc: 0.871147	valid_1's auc: 0.83107
[149]	training's auc: 0.871256	valid_1's auc: 0.831086
[150]	training's auc: 0.871258	valid_1's auc: 0.831023
[151]	training's auc: 0.871318	valid_1's auc: 0.830997
[152]	training's auc: 0.871379	valid_1's auc: 0.830913
[153]	training's auc: 0.87139	valid_1's auc: 0.830899
[154]	training's auc: 0.871404	valid_1's auc: 0.830816
[155]	training's auc: 0.871459	valid_1's auc: 0.830895
[156]	training's auc: 0.871524	valid_1's auc: 0.830949
[157]	training's auc: 0.871608	valid_1's auc: 0.830819
[158]	training's auc: 0.871688	valid_1's auc: 0.830682
[159]	training's auc: 0.871758	valid_1's auc: 0.830664
[160]	training's auc: 0.871816	valid_1's auc: 0.83069
[161]	training's auc: 0.871923	valid_1's auc: 0.830602
[162]	training's auc: 0.872018	valid_1's auc: 0.830525
[163]	training's auc: 0.872036	valid_1's auc: 0.830442
[164]	training's auc: 0.87205	valid_1's auc: 0.8304
[165]	training's auc: 0.872084	valid_1's auc: 0.830433
[166]	training's auc: 0.872123	valid_1's auc: 0.830455
[167]	training's auc: 0.872212	valid_1's auc: 0.830403
[168]	training's auc: 0.872258	valid_1's auc: 0.830471
[169]	training's auc: 0.872263	valid_1's auc: 0.830429
[170]	training's auc: 0.872276	valid_1's auc: 0.830382
[171]	training's auc: 0.87238	valid_1's auc: 0.830475
[172]	training's auc: 0.87241	valid_1's auc: 0.830571
[173]	training's auc: 0.872427	valid_1's auc: 0.830549
[174]	training's auc: 0.872456	valid_1's auc: 0.830592
[175]	training's auc: 0.872492	valid_1's auc: 0.830626
[176]	training's auc: 0.872524	valid_1's auc: 0.83072
[177]	training's auc: 0.872529	valid_1's auc: 0.830752
[178]	training's auc: 0.872584	valid_1's auc: 0.830756
[179]	training's auc: 0.872612	valid_1's auc: 0.830747
[180]	training's auc: 0.872612	valid_1's auc: 0.830762
[181]	training's auc: 0.872709	valid_1's auc: 0.830897
[182]	training's auc: 0.872803	valid_1's auc: 0.830954
[183]	training's auc: 0.872883	valid_1's auc: 0.830919
[184]	training's auc: 0.872955	valid_1's auc: 0.830855
[185]	training's auc: 0.873029	valid_1's auc: 0.830882
[186]	training's auc: 0.873075	valid_1's auc: 0.830967
[187]	training's auc: 0.873106	valid_1's auc: 0.830994
[188]	training's auc: 0.873166	valid_1's auc: 0.831015
[189]	training's auc: 0.873206	valid_1's auc: 0.831048
[190]	training's auc: 0.873236	valid_1's auc: 0.831055
[191]	training's auc: 0.873273	valid_1's auc: 0.831102
[192]	training's auc: 0.873284	valid_1's auc: 0.831139
[193]	training's auc: 0.873366	valid_1's auc: 0.831082
[194]	training's auc: 0.87338	valid_1's auc: 0.83104
[195]	training's auc: 0.873389	valid_1's auc: 0.831069
[196]	training's auc: 0.873391	valid_1's auc: 0.831078
[197]	training's auc: 0.873418	valid_1's auc: 0.831082
[198]	training's auc: 0.873459	valid_1's auc: 0.831092
[199]	training's auc: 0.873456	valid_1's auc: 0.831077
[200]	training's auc: 0.873494	valid_1's auc: 0.831129
[201]	training's auc: 0.873531	valid_1's auc: 0.831118
[202]	training's auc: 0.873584	valid_1's auc: 0.831106
[203]	training's auc: 0.873615	valid_1's auc: 0.831157
[204]	training's auc: 0.873625	valid_1's auc: 0.831186
[205]	training's auc: 0.873642	valid_1's auc: 0.831186
[206]	training's auc: 0.873662	valid_1's auc: 0.831193
[207]	training's auc: 0.873694	valid_1's auc: 0.831217
[208]	training's auc: 0.873707	valid_1's auc: 0.831247
[209]	training's auc: 0.87377	valid_1's auc: 0.831214
[210]	training's auc: 0.873778	valid_1's auc: 0.831205
[211]	training's auc: 0.873847	valid_1's auc: 0.831179
[212]	training's auc: 0.873892	valid_1's auc: 0.831171
[213]	training's auc: 0.87395	valid_1's auc: 0.831222
[214]	training's auc: 0.873958	valid_1's auc: 0.831196
[215]	training's auc: 0.874026	valid_1's auc: 0.831151
[216]	training's auc: 0.874062	valid_1's auc: 0.831139
[217]	training's auc: 0.874114	valid_1's auc: 0.831164
[218]	training's auc: 0.874133	valid_1's auc: 0.831183
[219]	training's auc: 0.874133	valid_1's auc: 0.831155
[220]	training's auc: 0.874168	valid_1's auc: 0.831142
[221]	training's auc: 0.874187	valid_1's auc: 0.831225
[222]	training's auc: 0.87427	valid_1's auc: 0.831175
[223]	training's auc: 0.874314	valid_1's auc: 0.831185
[224]	training's auc: 0.874377	valid_1's auc: 0.831262
[225]	training's auc: 0.874445	valid_1's auc: 0.831219
[226]	training's auc: 0.874472	valid_1's auc: 0.831252
[227]	training's auc: 0.874533	valid_1's auc: 0.831206
[228]	training's auc: 0.87456	valid_1's auc: 0.831323
[229]	training's auc: 0.874617	valid_1's auc: 0.831245
[230]	training's auc: 0.874676	valid_1's auc: 0.831175
[231]	training's auc: 0.874773	valid_1's auc: 0.831189
[232]	training's auc: 0.874792	valid_1's auc: 0.831123
[233]	training's auc: 0.874833	valid_1's auc: 0.831054
[234]	training's auc: 0.874862	valid_1's auc: 0.831033
[235]	training's auc: 0.874885	valid_1's auc: 0.831021
[236]	training's auc: 0.874934	valid_1's auc: 0.831008
[237]	training's auc: 0.875006	valid_1's auc: 0.83107
[238]	training's auc: 0.875049	valid_1's auc: 0.831147
[239]	training's auc: 0.87509	valid_1's auc: 0.831145
[240]	training's auc: 0.875095	valid_1's auc: 0.831153
[241]	training's auc: 0.875152	valid_1's auc: 0.83119
[242]	training's auc: 0.875165	valid_1's auc: 0.831241
[243]	training's auc: 0.875229	valid_1's auc: 0.831229
[244]	training's auc: 0.875246	valid_1's auc: 0.831203
[245]	training's auc: 0.875284	valid_1's auc: 0.831206
[246]	training's auc: 0.875317	valid_1's auc: 0.831225
[247]	training's auc: 0.875347	valid_1's auc: 0.83128
[248]	training's auc: 0.875376	valid_1's auc: 0.831305
[249]	training's auc: 0.875386	valid_1's auc: 0.831296
[250]	training's auc: 0.875383	valid_1's auc: 0.831314
[251]	training's auc: 0.875397	valid_1's auc: 0.831279
[252]	training's auc: 0.87544	valid_1's auc: 0.831324
[253]	training's auc: 0.87545	valid_1's auc: 0.831345
[254]	training's auc: 0.875527	valid_1's auc: 0.831244
[255]	training's auc: 0.875528	valid_1's auc: 0.831227
[256]	training's auc: 0.87554	valid_1's auc: 0.831183
[257]	training's auc: 0.875537	valid_1's auc: 0.831112
[258]	training's auc: 0.875535	valid_1's auc: 0.831122
[259]	training's auc: 0.875573	valid_1's auc: 0.831065
[260]	training's auc: 0.875643	valid_1's auc: 0.831098
[261]	training's auc: 0.875667	valid_1's auc: 0.831074
[262]	training's auc: 0.875681	valid_1's auc: 0.83111
[263]	training's auc: 0.875722	valid_1's auc: 0.831087
[264]	training's auc: 0.875746	valid_1's auc: 0.831075
[265]	training's auc: 0.875812	valid_1's auc: 0.831119
[266]	training's auc: 0.875884	valid_1's auc: 0.831128
[267]	training's auc: 0.875944	valid_1's auc: 0.831147
[268]	training's auc: 0.875971	valid_1's auc: 0.831145
[269]	training's auc: 0.876009	valid_1's auc: 0.831238
[270]	training's auc: 0.876015	valid_1's auc: 0.831211
[271]	training's auc: 0.87606	valid_1's auc: 0.831315
[272]	training's auc: 0.876091	valid_1's auc: 0.831374
[273]	training's auc: 0.876147	valid_1's auc: 0.831486
[274]	training's auc: 0.876194	valid_1's auc: 0.831473
[275]	training's auc: 0.876212	valid_1's auc: 0.831569
[276]	training's auc: 0.876267	valid_1's auc: 0.831516
[277]	training's auc: 0.876271	valid_1's auc: 0.831579
[278]	training's auc: 0.876291	valid_1's auc: 0.831566
[279]	training's auc: 0.87631	valid_1's auc: 0.831596
[280]	training's auc: 0.876371	valid_1's auc: 0.831549
[281]	training's auc: 0.876384	valid_1's auc: 0.831505
[282]	training's auc: 0.876393	valid_1's auc: 0.831531
[283]	training's auc: 0.876407	valid_1's auc: 0.831555
[284]	training's auc: 0.876507	valid_1's auc: 0.831533
[285]	training's auc: 0.876535	valid_1's auc: 0.831546
[286]	training's auc: 0.876537	valid_1's auc: 0.831597
[287]	training's auc: 0.876597	valid_1's auc: 0.831562
[288]	training's auc: 0.87663	valid_1's auc: 0.83154
[289]	training's auc: 0.876658	valid_1's auc: 0.83155
[290]	training's auc: 0.876694	valid_1's auc: 0.831575
[291]	training's auc: 0.87672	valid_1's auc: 0.83159
[292]	training's auc: 0.876752	valid_1's auc: 0.831598
[293]	training's auc: 0.876835	valid_1's auc: 0.831616
[294]	training's auc: 0.87686	valid_1's auc: 0.831624
[295]	training's auc: 0.876946	valid_1's auc: 0.831596
[296]	training's auc: 0.876959	valid_1's auc: 0.831515
[297]	training's auc: 0.876996	valid_1's auc: 0.831483
[298]	training's auc: 0.877024	valid_1's auc: 0.831511
[299]	training's auc: 0.87707	valid_1's auc: 0.831591
[300]	training's auc: 0.8771	valid_1's auc: 0.831596
[301]	training's auc: 0.87712	valid_1's auc: 0.831686
[302]	training's auc: 0.877135	valid_1's auc: 0.831701
[303]	training's auc: 0.877201	valid_1's auc: 0.831657
[304]	training's auc: 0.877206	valid_1's auc: 0.831625
[305]	training's auc: 0.877234	valid_1's auc: 0.831655
[306]	training's auc: 0.877251	valid_1's auc: 0.831669
[307]	training's auc: 0.877259	valid_1's auc: 0.831584
[308]	training's auc: 0.877263	valid_1's auc: 0.831481
[309]	training's auc: 0.87729	valid_1's auc: 0.831442
[310]	training's auc: 0.877315	valid_1's auc: 0.831432
[311]	training's auc: 0.877337	valid_1's auc: 0.831444
[312]	training's auc: 0.87743	valid_1's auc: 0.831464
[313]	training's auc: 0.877469	valid_1's auc: 0.831447
[314]	training's auc: 0.877481	valid_1's auc: 0.831463
[315]	training's auc: 0.877509	valid_1's auc: 0.831467
[316]	training's auc: 0.877548	valid_1's auc: 0.831404
[317]	training's auc: 0.877554	valid_1's auc: 0.831409
[318]	training's auc: 0.877593	valid_1's auc: 0.831423
[319]	training's auc: 0.877595	valid_1's auc: 0.831374
[320]	training's auc: 0.877649	valid_1's auc: 0.831375
[321]	training's auc: 0.877739	valid_1's auc: 0.831437
[322]	training's auc: 0.877753	valid_1's auc: 0.831417
[323]	training's auc: 0.877764	valid_1's auc: 0.83137
[324]	training's auc: 0.877798	valid_1's auc: 0.831394
[325]	training's auc: 0.877816	valid_1's auc: 0.831422
[326]	training's auc: 0.877855	valid_1's auc: 0.831375
[327]	training's auc: 0.877888	valid_1's auc: 0.831434
[328]	training's auc: 0.877889	valid_1's auc: 0.831454
[329]	training's auc: 0.877918	valid_1's auc: 0.831483
[330]	training's auc: 0.877944	valid_1's auc: 0.831505
[331]	training's auc: 0.877969	valid_1's auc: 0.831481
[332]	training's auc: 0.877988	valid_1's auc: 0.831461
[333]	training's auc: 0.878035	valid_1's auc: 0.831503
[334]	training's auc: 0.878046	valid_1's auc: 0.831527
[335]	training's auc: 0.878127	valid_1's auc: 0.831615
[336]	training's auc: 0.878191	valid_1's auc: 0.831603
[337]	training's auc: 0.878209	valid_1's auc: 0.831651
[338]	training's auc: 0.878233	valid_1's auc: 0.831684
[339]	training's auc: 0.878239	valid_1's auc: 0.831664
[340]	training's auc: 0.878241	valid_1's auc: 0.831659
[341]	training's auc: 0.878295	valid_1's auc: 0.83156
[342]	training's auc: 0.878344	valid_1's auc: 0.831487
[343]	training's auc: 0.878369	valid_1's auc: 0.831518
[344]	training's auc: 0.878376	valid_1's auc: 0.831419
[345]	training's auc: 0.878378	valid_1's auc: 0.831387
[346]	training's auc: 0.878378	valid_1's auc: 0.831335
[347]	training's auc: 0.878375	valid_1's auc: 0.831295
[348]	training's auc: 0.878376	valid_1's auc: 0.831257
[349]	training's auc: 0.878392	valid_1's auc: 0.831241
[350]	training's auc: 0.878408	valid_1's auc: 0.831224
[351]	training's auc: 0.878429	valid_1's auc: 0.831234
[352]	training's auc: 0.878448	valid_1's auc: 0.831183
[353]	training's auc: 0.878475	valid_1's auc: 0.83122
[354]	training's auc: 0.878489	valid_1's auc: 0.831259
[355]	training's auc: 0.878499	valid_1's auc: 0.83126
[356]	training's auc: 0.878512	valid_1's auc: 0.831244
[357]	training's auc: 0.878538	valid_1's auc: 0.831216
[358]	training's auc: 0.878544	valid_1's auc: 0.831193
[359]	training's auc: 0.878578	valid_1's auc: 0.831225
[360]	training's auc: 0.878579	valid_1's auc: 0.831187
[361]	training's auc: 0.878631	valid_1's auc: 0.831321
[362]	training's auc: 0.878654	valid_1's auc: 0.831323
[363]	training's auc: 0.87868	valid_1's auc: 0.831399
[364]	training's auc: 0.878687	valid_1's auc: 0.831476
[365]	training's auc: 0.878689	valid_1's auc: 0.83155
[366]	training's auc: 0.878698	valid_1's auc: 0.831591
[367]	training's auc: 0.878703	valid_1's auc: 0.831619
[368]	training's auc: 0.878714	valid_1's auc: 0.831668
[369]	training's auc: 0.878731	valid_1's auc: 0.831657
[370]	training's auc: 0.878803	valid_1's auc: 0.831592
[371]	training's auc: 0.878817	valid_1's auc: 0.831669
[372]	training's auc: 0.878832	valid_1's auc: 0.83169
[373]	training's auc: 0.878843	valid_1's auc: 0.831644
[374]	training's auc: 0.878856	valid_1's auc: 0.831628
[375]	training's auc: 0.87886	valid_1's auc: 0.83169
[376]	training's auc: 0.878924	valid_1's auc: 0.831708
[377]	training's auc: 0.878947	valid_1's auc: 0.831733
[378]	training's auc: 0.87895	valid_1's auc: 0.831757
[379]	training's auc: 0.878988	valid_1's auc: 0.831756
[380]	training's auc: 0.879053	valid_1's auc: 0.831778
[381]	training's auc: 0.879142	valid_1's auc: 0.831712
[382]	training's auc: 0.879159	valid_1's auc: 0.831718
[383]	training's auc: 0.879171	valid_1's auc: 0.831649
[384]	training's auc: 0.879175	valid_1's auc: 0.831605
[385]	training's auc: 0.879179	valid_1's auc: 0.831576
[386]	training's auc: 0.879179	valid_1's auc: 0.831505
[387]	training's auc: 0.8792	valid_1's auc: 0.831503
[388]	training's auc: 0.879261	valid_1's auc: 0.831504
[389]	training's auc: 0.879282	valid_1's auc: 0.831501
[390]	training's auc: 0.879297	valid_1's auc: 0.831506
[391]	training's auc: 0.879311	valid_1's auc: 0.831528
[392]	training's auc: 0.879315	valid_1's auc: 0.831575
[393]	training's auc: 0.879344	valid_1's auc: 0.831581
[394]	training's auc: 0.879347	valid_1's auc: 0.831589
[395]	training's auc: 0.879368	valid_1's auc: 0.831603
[396]	training's auc: 0.879428	valid_1's auc: 0.831571
[397]	training's auc: 0.879456	valid_1's auc: 0.831591
[398]	training's auc: 0.879509	valid_1's auc: 0.831528
[399]	training's auc: 0.879535	valid_1's auc: 0.831562
[400]	training's auc: 0.879611	valid_1's auc: 0.83155
[401]	training's auc: 0.879631	valid_1's auc: 0.831567
[402]	training's auc: 0.879654	valid_1's auc: 0.831598
[403]	training's auc: 0.879666	valid_1's auc: 0.831603
[404]	training's auc: 0.879673	valid_1's auc: 0.831601
[405]	training's auc: 0.87967	valid_1's auc: 0.831579
[406]	training's auc: 0.879672	valid_1's auc: 0.831584
[407]	training's auc: 0.879668	valid_1's auc: 0.831549
[408]	training's auc: 0.879698	valid_1's auc: 0.831509
[409]	training's auc: 0.879748	valid_1's auc: 0.831556
[410]	training's auc: 0.879744	valid_1's auc: 0.83154
[411]	training's auc: 0.879763	valid_1's auc: 0.83156
[412]	training's auc: 0.879783	valid_1's auc: 0.831593
[413]	training's auc: 0.879819	valid_1's auc: 0.831683
[414]	training's auc: 0.879838	valid_1's auc: 0.831751
[415]	training's auc: 0.879848	valid_1's auc: 0.83182
[416]	training's auc: 0.879855	valid_1's auc: 0.831839
[417]	training's auc: 0.879873	valid_1's auc: 0.831856
[418]	training's auc: 0.879898	valid_1's auc: 0.831872
[419]	training's auc: 0.879916	valid_1's auc: 0.831895
[420]	training's auc: 0.879935	valid_1's auc: 0.831922
[421]	training's auc: 0.880025	valid_1's auc: 0.831923
[422]	training's auc: 0.880038	valid_1's auc: 0.831905
[423]	training's auc: 0.880056	valid_1's auc: 0.831925
[424]	training's auc: 0.88008	valid_1's auc: 0.831958
[425]	training's auc: 0.880086	valid_1's auc: 0.831906
[426]	training's auc: 0.88009	valid_1's auc: 0.83184
[427]	training's auc: 0.880085	valid_1's auc: 0.831766
[428]	training's auc: 0.880104	valid_1's auc: 0.831788
[429]	training's auc: 0.880124	valid_1's auc: 0.831746
[430]	training's auc: 0.880127	valid_1's auc: 0.831755
[431]	training's auc: 0.880136	valid_1's auc: 0.831687
[432]	training's auc: 0.88015	valid_1's auc: 0.831692
[433]	training's auc: 0.880157	valid_1's auc: 0.831638
[434]	training's auc: 0.880162	valid_1's auc: 0.831614
[435]	training's auc: 0.880181	valid_1's auc: 0.831632
[436]	training's auc: 0.880214	valid_1's auc: 0.831643
[437]	training's auc: 0.880216	valid_1's auc: 0.831578
[438]	training's auc: 0.880227	valid_1's auc: 0.831579
[439]	training's auc: 0.880227	valid_1's auc: 0.83151
[440]	training's auc: 0.880229	valid_1's auc: 0.831456
[441]	training's auc: 0.880244	valid_1's auc: 0.831422
[442]	training's auc: 0.880255	valid_1's auc: 0.831365
[443]	training's auc: 0.88028	valid_1's auc: 0.831347
[444]	training's auc: 0.880363	valid_1's auc: 0.831323
[445]	training's auc: 0.880381	valid_1's auc: 0.831326
[446]	training's auc: 0.880404	valid_1's auc: 0.831334
