[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.758558	valid_1's auc: 0.709628
[19]	training's auc: 0.841446	valid_1's auc: 0.811318
[20]	training's auc: 0.84233	valid_1's auc: 0.812421
[21]	training's auc: 0.842705	valid_1's auc: 0.812842
[22]	training's auc: 0.843126	valid_1's auc: 0.813184
[23]	training's auc: 0.843846	valid_1's auc: 0.813729
[24]	training's auc: 0.844624	valid_1's auc: 0.814237
[25]	training's auc: 0.845268	valid_1's auc: 0.814572
[26]	training's auc: 0.845739	valid_1's auc: 0.814874
[27]	training's auc: 0.846342	valid_1's auc: 0.815324
[28]	training's auc: 0.84686	valid_1's auc: 0.815993
[29]	training's auc: 0.847181	valid_1's auc: 0.816346
[30]	training's auc: 0.847519	valid_1's auc: 0.816716
[31]	training's auc: 0.84798	valid_1's auc: 0.817449
[32]	training's auc: 0.848456	valid_1's auc: 0.81792
[33]	training's auc: 0.848725	valid_1's auc: 0.818065
[34]	training's auc: 0.848979	valid_1's auc: 0.818596
[35]	training's auc: 0.849298	valid_1's auc: 0.818804
[36]	training's auc: 0.849406	valid_1's auc: 0.81899
[37]	training's auc: 0.849856	valid_1's auc: 0.819325
[38]	training's auc: 0.850287	valid_1's auc: 0.819604
[39]	training's auc: 0.850694	valid_1's auc: 0.81992
[40]	training's auc: 0.851045	valid_1's auc: 0.820126
[41]	training's auc: 0.851347	valid_1's auc: 0.820361
[42]	training's auc: 0.851632	valid_1's auc: 0.820558
[43]	training's auc: 0.851863	valid_1's auc: 0.82086
[44]	training's auc: 0.852169	valid_1's auc: 0.821103
[45]	training's auc: 0.852418	valid_1's auc: 0.821216
[46]	training's auc: 0.852798	valid_1's auc: 0.821429
[47]	training's auc: 0.852918	valid_1's auc: 0.821584
[48]	training's auc: 0.853283	valid_1's auc: 0.821781
[49]	training's auc: 0.853546	valid_1's auc: 0.821936
[50]	training's auc: 0.853873	valid_1's auc: 0.822125
[51]	training's auc: 0.854126	valid_1's auc: 0.822487
[52]	training's auc: 0.854322	valid_1's auc: 0.82259
[53]	training's auc: 0.854602	valid_1's auc: 0.822645
[54]	training's auc: 0.854798	valid_1's auc: 0.822746
[55]	training's auc: 0.854976	valid_1's auc: 0.82304
[56]	training's auc: 0.855181	valid_1's auc: 0.82319
[57]	training's auc: 0.855394	valid_1's auc: 0.823268
[58]	training's auc: 0.855613	valid_1's auc: 0.823578
[59]	training's auc: 0.8558	valid_1's auc: 0.82367
[60]	training's auc: 0.856087	valid_1's auc: 0.823868
[61]	training's auc: 0.856144	valid_1's auc: 0.824023
[62]	training's auc: 0.856356	valid_1's auc: 0.82423
[63]	training's auc: 0.8565	valid_1's auc: 0.824459
[64]	training's auc: 0.856651	valid_1's auc: 0.824537
[65]	training's auc: 0.85688	valid_1's auc: 0.824749
[66]	training's auc: 0.856963	valid_1's auc: 0.824861
[67]	training's auc: 0.857047	valid_1's auc: 0.825061
[68]	training's auc: 0.857197	valid_1's auc: 0.825248
[69]	training's auc: 0.85737	valid_1's auc: 0.825245
[70]	training's auc: 0.857566	valid_1's auc: 0.825372
[71]	training's auc: 0.857689	valid_1's auc: 0.825425
[72]	training's auc: 0.857742	valid_1's auc: 0.825518
[73]	training's auc: 0.857898	valid_1's auc: 0.825679
[74]	training's auc: 0.858076	valid_1's auc: 0.825897
[75]	training's auc: 0.858135	valid_1's auc: 0.825949
[76]	training's auc: 0.85828	valid_1's auc: 0.825941
[77]	training's auc: 0.858502	valid_1's auc: 0.825995
[78]	training's auc: 0.858585	valid_1's auc: 0.826022
[79]	training's auc: 0.858687	valid_1's auc: 0.826013
[80]	training's auc: 0.858858	valid_1's auc: 0.826032
[81]	training's auc: 0.858966	valid_1's auc: 0.826312
[82]	training's auc: 0.859033	valid_1's auc: 0.826417
[83]	training's auc: 0.859157	valid_1's auc: 0.826684
[84]	training's auc: 0.859364	valid_1's auc: 0.826795
[85]	training's auc: 0.859513	valid_1's auc: 0.826859
[86]	training's auc: 0.859632	valid_1's auc: 0.826907
[87]	training's auc: 0.859687	valid_1's auc: 0.827051
[88]	training's auc: 0.859829	valid_1's auc: 0.827017
[89]	training's auc: 0.859949	valid_1's auc: 0.827201
[90]	training's auc: 0.860084	valid_1's auc: 0.827211
[91]	training's auc: 0.860228	valid_1's auc: 0.827307
[92]	training's auc: 0.860327	valid_1's auc: 0.827307
[93]	training's auc: 0.860478	valid_1's auc: 0.827579
[94]	training's auc: 0.860584	valid_1's auc: 0.827616
[95]	training's auc: 0.860755	valid_1's auc: 0.827687
[96]	training's auc: 0.860794	valid_1's auc: 0.827825
[97]	training's auc: 0.860848	valid_1's auc: 0.827871
[98]	training's auc: 0.86096	valid_1's auc: 0.827857
[99]	training's auc: 0.861075	valid_1's auc: 0.828026
[100]	training's auc: 0.861184	valid_1's auc: 0.828027
[101]	training's auc: 0.861265	valid_1's auc: 0.82815
[102]	training's auc: 0.861454	valid_1's auc: 0.828144
[103]	training's auc: 0.861518	valid_1's auc: 0.828218
[104]	training's auc: 0.861658	valid_1's auc: 0.828271
[105]	training's auc: 0.861741	valid_1's auc: 0.828289
[106]	training's auc: 0.861815	valid_1's auc: 0.82824
[107]	training's auc: 0.861861	valid_1's auc: 0.828314
[108]	training's auc: 0.861905	valid_1's auc: 0.828437
[109]	training's auc: 0.861954	valid_1's auc: 0.8285
[110]	training's auc: 0.861986	valid_1's auc: 0.8285
[111]	training's auc: 0.862031	valid_1's auc: 0.828572
[112]	training's auc: 0.86213	valid_1's auc: 0.8285
[113]	training's auc: 0.862244	valid_1's auc: 0.828596
[114]	training's auc: 0.862338	valid_1's auc: 0.828711
[115]	training's auc: 0.862458	valid_1's auc: 0.82879
[116]	training's auc: 0.862521	valid_1's auc: 0.828849
[117]	training's auc: 0.862595	valid_1's auc: 0.828856
[118]	training's auc: 0.862639	valid_1's auc: 0.829017
[119]	training's auc: 0.862711	valid_1's auc: 0.829006
[120]	training's auc: 0.862883	valid_1's auc: 0.828982
[121]	training's auc: 0.863052	valid_1's auc: 0.828962
[122]	training's auc: 0.863108	valid_1's auc: 0.828921
[123]	training's auc: 0.86319	valid_1's auc: 0.82899
[124]	training's auc: 0.863266	valid_1's auc: 0.828978
[125]	training's auc: 0.863369	valid_1's auc: 0.829154
[126]	training's auc: 0.86342	valid_1's auc: 0.829146
[127]	training's auc: 0.863592	valid_1's auc: 0.829141
[128]	training's auc: 0.86365	valid_1's auc: 0.829163
[129]	training's auc: 0.863674	valid_1's auc: 0.829208
[130]	training's auc: 0.863753	valid_1's auc: 0.829271
[131]	training's auc: 0.863812	valid_1's auc: 0.829276
[132]	training's auc: 0.863908	valid_1's auc: 0.829332
[133]	training's auc: 0.864031	valid_1's auc: 0.829555
[134]	training's auc: 0.864129	valid_1's auc: 0.829656
[135]	training's auc: 0.864289	valid_1's auc: 0.829768
[136]	training's auc: 0.86437	valid_1's auc: 0.829838
[137]	training's auc: 0.864442	valid_1's auc: 0.829863
[138]	training's auc: 0.864514	valid_1's auc: 0.829859
[139]	training's auc: 0.864601	valid_1's auc: 0.830127
[140]	training's auc: 0.864665	valid_1's auc: 0.830075
[141]	training's auc: 0.864713	valid_1's auc: 0.830184
[142]	training's auc: 0.864775	valid_1's auc: 0.830214
[143]	training's auc: 0.864826	valid_1's auc: 0.830166
[144]	training's auc: 0.8649	valid_1's auc: 0.83016
[145]	training's auc: 0.864934	valid_1's auc: 0.830234
[146]	training's auc: 0.86501	valid_1's auc: 0.830242
[147]	training's auc: 0.865108	valid_1's auc: 0.830279
[148]	training's auc: 0.865185	valid_1's auc: 0.830255
[149]	training's auc: 0.865242	valid_1's auc: 0.830236
[150]	training's auc: 0.865328	valid_1's auc: 0.830298
[151]	training's auc: 0.865397	valid_1's auc: 0.830384
[152]	training's auc: 0.865456	valid_1's auc: 0.830407
[153]	training's auc: 0.865497	valid_1's auc: 0.830408
[154]	training's auc: 0.865534	valid_1's auc: 0.830402
[155]	training's auc: 0.865581	valid_1's auc: 0.830501
[156]	training's auc: 0.865632	valid_1's auc: 0.830573
[157]	training's auc: 0.865693	valid_1's auc: 0.830588
[158]	training's auc: 0.865749	valid_1's auc: 0.830537
[159]	training's auc: 0.865839	valid_1's auc: 0.830605
[160]	training's auc: 0.865899	valid_1's auc: 0.830699
[161]	training's auc: 0.866008	valid_1's auc: 0.830711
[162]	training's auc: 0.866114	valid_1's auc: 0.830692
[163]	training's auc: 0.866213	valid_1's auc: 0.830744
[164]	training's auc: 0.866292	valid_1's auc: 0.830866
[165]	training's auc: 0.866328	valid_1's auc: 0.830913
[166]	training's auc: 0.866363	valid_1's auc: 0.830928
[167]	training's auc: 0.866414	valid_1's auc: 0.830915
[168]	training's auc: 0.866457	valid_1's auc: 0.831008
[169]	training's auc: 0.866501	valid_1's auc: 0.830991
[170]	training's auc: 0.866557	valid_1's auc: 0.830964
[171]	training's auc: 0.866646	valid_1's auc: 0.830974
[172]	training's auc: 0.866677	valid_1's auc: 0.831069
[173]	training's auc: 0.86672	valid_1's auc: 0.831066
[174]	training's auc: 0.866795	valid_1's auc: 0.83112
[175]	training's auc: 0.866815	valid_1's auc: 0.831132
[176]	training's auc: 0.866847	valid_1's auc: 0.831108
[177]	training's auc: 0.866929	valid_1's auc: 0.831172
[178]	training's auc: 0.866981	valid_1's auc: 0.831198
[179]	training's auc: 0.867025	valid_1's auc: 0.83118
[180]	training's auc: 0.867091	valid_1's auc: 0.831157
[181]	training's auc: 0.86714	valid_1's auc: 0.831173
[182]	training's auc: 0.867192	valid_1's auc: 0.83116
[183]	training's auc: 0.867273	valid_1's auc: 0.831187
[184]	training's auc: 0.867315	valid_1's auc: 0.831163
[185]	training's auc: 0.867389	valid_1's auc: 0.831171
[186]	training's auc: 0.86742	valid_1's auc: 0.831219
[187]	training's auc: 0.867443	valid_1's auc: 0.831247
[188]	training's auc: 0.867486	valid_1's auc: 0.831262
[189]	training's auc: 0.867529	valid_1's auc: 0.831311
[190]	training's auc: 0.867578	valid_1's auc: 0.831308
[191]	training's auc: 0.867638	valid_1's auc: 0.831239
[192]	training's auc: 0.867701	valid_1's auc: 0.831256
[193]	training's auc: 0.867752	valid_1's auc: 0.831299
[194]	training's auc: 0.867779	valid_1's auc: 0.831291
[195]	training's auc: 0.867872	valid_1's auc: 0.831208
[196]	training's auc: 0.867964	valid_1's auc: 0.831273
[197]	training's auc: 0.867989	valid_1's auc: 0.831288
[198]	training's auc: 0.868061	valid_1's auc: 0.831281
[199]	training's auc: 0.868118	valid_1's auc: 0.831279
[200]	training's auc: 0.868158	valid_1's auc: 0.831413
[201]	training's auc: 0.868221	valid_1's auc: 0.831435
[202]	training's auc: 0.868307	valid_1's auc: 0.831494
[203]	training's auc: 0.868325	valid_1's auc: 0.831543
[204]	training's auc: 0.868387	valid_1's auc: 0.83154
[205]	training's auc: 0.86841	valid_1's auc: 0.83155
[206]	training's auc: 0.868436	valid_1's auc: 0.831578
[207]	training's auc: 0.868447	valid_1's auc: 0.831575
[208]	training's auc: 0.868467	valid_1's auc: 0.831561
[209]	training's auc: 0.868526	valid_1's auc: 0.831589
[210]	training's auc: 0.868567	valid_1's auc: 0.83155
[211]	training's auc: 0.86864	valid_1's auc: 0.831509
[212]	training's auc: 0.868676	valid_1's auc: 0.831496
[213]	training's auc: 0.868741	valid_1's auc: 0.831513
[214]	training's auc: 0.868805	valid_1's auc: 0.831484
[215]	training's auc: 0.868837	valid_1's auc: 0.83147
[216]	training's auc: 0.868885	valid_1's auc: 0.831466
[217]	training's auc: 0.868927	valid_1's auc: 0.831459
[218]	training's auc: 0.869002	valid_1's auc: 0.831515
[219]	training's auc: 0.869052	valid_1's auc: 0.831575
[220]	training's auc: 0.869162	valid_1's auc: 0.831568
[221]	training's auc: 0.869221	valid_1's auc: 0.831632
[222]	training's auc: 0.86926	valid_1's auc: 0.831582
[223]	training's auc: 0.86932	valid_1's auc: 0.831616
[224]	training's auc: 0.869373	valid_1's auc: 0.831632
[225]	training's auc: 0.869433	valid_1's auc: 0.831583
[226]	training's auc: 0.86945	valid_1's auc: 0.831585
[227]	training's auc: 0.869485	valid_1's auc: 0.831572
[228]	training's auc: 0.869514	valid_1's auc: 0.831586
[229]	training's auc: 0.869554	valid_1's auc: 0.831565
[230]	training's auc: 0.869624	valid_1's auc: 0.831568
[231]	training's auc: 0.869675	valid_1's auc: 0.831536
[232]	training's auc: 0.869696	valid_1's auc: 0.831541
[233]	training's auc: 0.869762	valid_1's auc: 0.831555
[234]	training's auc: 0.869795	valid_1's auc: 0.831599
[235]	training's auc: 0.869822	valid_1's auc: 0.831615
[236]	training's auc: 0.869857	valid_1's auc: 0.831595
[237]	training's auc: 0.869939	valid_1's auc: 0.831652
[238]	training's auc: 0.869989	valid_1's auc: 0.831678
[239]	training's auc: 0.870038	valid_1's auc: 0.831628
[240]	training's auc: 0.870053	valid_1's auc: 0.831598
[241]	training's auc: 0.870085	valid_1's auc: 0.831614
[242]	training's auc: 0.870137	valid_1's auc: 0.831579
[243]	training's auc: 0.870201	valid_1's auc: 0.831595
[244]	training's auc: 0.870244	valid_1's auc: 0.831521
[245]	training's auc: 0.870278	valid_1's auc: 0.831533
[246]	training's auc: 0.870313	valid_1's auc: 0.831601
[247]	training's auc: 0.870335	valid_1's auc: 0.831627
[248]	training's auc: 0.870354	valid_1's auc: 0.831643
[249]	training's auc: 0.870369	valid_1's auc: 0.831617
[250]	training's auc: 0.870429	valid_1's auc: 0.831698
[251]	training's auc: 0.87051	valid_1's auc: 0.831691
[252]	training's auc: 0.870557	valid_1's auc: 0.83168
[253]	training's auc: 0.870577	valid_1's auc: 0.831696
[254]	training's auc: 0.87061	valid_1's auc: 0.831699
[255]	training's auc: 0.87068	valid_1's auc: 0.831696
[256]	training's auc: 0.870696	valid_1's auc: 0.831689
[257]	training's auc: 0.870737	valid_1's auc: 0.831698
[258]	training's auc: 0.870771	valid_1's auc: 0.831727
[259]	training's auc: 0.870801	valid_1's auc: 0.831684
[260]	training's auc: 0.870848	valid_1's auc: 0.831692
[261]	training's auc: 0.870906	valid_1's auc: 0.831705
[262]	training's auc: 0.870955	valid_1's auc: 0.831671
[263]	training's auc: 0.870982	valid_1's auc: 0.831679
[264]	training's auc: 0.871017	valid_1's auc: 0.831686
[265]	training's auc: 0.871054	valid_1's auc: 0.831665
[266]	training's auc: 0.871099	valid_1's auc: 0.831662
[267]	training's auc: 0.871191	valid_1's auc: 0.831661
[268]	training's auc: 0.87123	valid_1's auc: 0.831662
[269]	training's auc: 0.87126	valid_1's auc: 0.831657
[270]	training's auc: 0.871308	valid_1's auc: 0.831702
[271]	training's auc: 0.871361	valid_1's auc: 0.831655
[272]	training's auc: 0.871416	valid_1's auc: 0.8317
[273]	training's auc: 0.871458	valid_1's auc: 0.831717
[274]	training's auc: 0.8715	valid_1's auc: 0.831872
[275]	training's auc: 0.871512	valid_1's auc: 0.831876
[276]	training's auc: 0.871548	valid_1's auc: 0.831867
[277]	training's auc: 0.871608	valid_1's auc: 0.831848
[278]	training's auc: 0.871632	valid_1's auc: 0.831912
[279]	training's auc: 0.871645	valid_1's auc: 0.831977
[280]	training's auc: 0.871679	valid_1's auc: 0.831991
[281]	training's auc: 0.871723	valid_1's auc: 0.831953
[282]	training's auc: 0.871759	valid_1's auc: 0.831884
[283]	training's auc: 0.871772	valid_1's auc: 0.831828
[284]	training's auc: 0.871853	valid_1's auc: 0.831829
[285]	training's auc: 0.871876	valid_1's auc: 0.831823
[286]	training's auc: 0.87188	valid_1's auc: 0.831793
[287]	training's auc: 0.871924	valid_1's auc: 0.831825
[288]	training's auc: 0.871941	valid_1's auc: 0.831866
[289]	training's auc: 0.87197	valid_1's auc: 0.831937
[290]	training's auc: 0.872005	valid_1's auc: 0.831949
[291]	training's auc: 0.872026	valid_1's auc: 0.831956
[292]	training's auc: 0.872049	valid_1's auc: 0.831979
[293]	training's auc: 0.872085	valid_1's auc: 0.831955
[294]	training's auc: 0.872105	valid_1's auc: 0.831959
[295]	training's auc: 0.872138	valid_1's auc: 0.831982
[296]	training's auc: 0.872152	valid_1's auc: 0.831982
[297]	training's auc: 0.872194	valid_1's auc: 0.831984
[298]	training's auc: 0.872212	valid_1's auc: 0.832028
[299]	training's auc: 0.872258	valid_1's auc: 0.832041
[300]	training's auc: 0.87228	valid_1's auc: 0.832126
[301]	training's auc: 0.872292	valid_1's auc: 0.832182
[302]	training's auc: 0.872303	valid_1's auc: 0.832191
[303]	training's auc: 0.872341	valid_1's auc: 0.832158
[304]	training's auc: 0.872398	valid_1's auc: 0.832243
[305]	training's auc: 0.87243	valid_1's auc: 0.832277
[306]	training's auc: 0.872444	valid_1's auc: 0.832284
[307]	training's auc: 0.872453	valid_1's auc: 0.83226
[308]	training's auc: 0.872461	valid_1's auc: 0.832232
[309]	training's auc: 0.872516	valid_1's auc: 0.832221
[310]	training's auc: 0.872544	valid_1's auc: 0.832197
[311]	training's auc: 0.872561	valid_1's auc: 0.832209
[312]	training's auc: 0.872596	valid_1's auc: 0.832212
[313]	training's auc: 0.872627	valid_1's auc: 0.832187
[314]	training's auc: 0.872668	valid_1's auc: 0.832201
[315]	training's auc: 0.872698	valid_1's auc: 0.832209
[316]	training's auc: 0.872728	valid_1's auc: 0.832239
[317]	training's auc: 0.872791	valid_1's auc: 0.832256
[318]	training's auc: 0.872809	valid_1's auc: 0.832251
[319]	training's auc: 0.872862	valid_1's auc: 0.832279
[320]	training's auc: 0.872899	valid_1's auc: 0.832257
[321]	training's auc: 0.872934	valid_1's auc: 0.832262
[322]	training's auc: 0.872985	valid_1's auc: 0.832256
[323]	training's auc: 0.872994	valid_1's auc: 0.83223
[324]	training's auc: 0.87302	valid_1's auc: 0.832257
[325]	training's auc: 0.873033	valid_1's auc: 0.83229
[326]	training's auc: 0.873084	valid_1's auc: 0.832326
[327]	training's auc: 0.873097	valid_1's auc: 0.832391
[328]	training's auc: 0.87312	valid_1's auc: 0.832437
[329]	training's auc: 0.873138	valid_1's auc: 0.832455
[330]	training's auc: 0.873168	valid_1's auc: 0.832491
[331]	training's auc: 0.873185	valid_1's auc: 0.832502
[332]	training's auc: 0.873197	valid_1's auc: 0.832511
[333]	training's auc: 0.873231	valid_1's auc: 0.832506
[334]	training's auc: 0.873258	valid_1's auc: 0.832475
[335]	training's auc: 0.873284	valid_1's auc: 0.832434
[336]	training's auc: 0.87331	valid_1's auc: 0.832405
[337]	training's auc: 0.873332	valid_1's auc: 0.832385
[338]	training's auc: 0.873345	valid_1's auc: 0.832403
[339]	training's auc: 0.87337	valid_1's auc: 0.832375
[340]	training's auc: 0.873373	valid_1's auc: 0.832354
[341]	training's auc: 0.873405	valid_1's auc: 0.832304
[342]	training's auc: 0.873433	valid_1's auc: 0.832309
[343]	training's auc: 0.87345	valid_1's auc: 0.83229
[344]	training's auc: 0.87346	valid_1's auc: 0.832247
[345]	training's auc: 0.873487	valid_1's auc: 0.83223
[346]	training's auc: 0.873511	valid_1's auc: 0.832214
[347]	training's auc: 0.873574	valid_1's auc: 0.832219
[348]	training's auc: 0.873614	valid_1's auc: 0.832211
[349]	training's auc: 0.873631	valid_1's auc: 0.832234
[350]	training's auc: 0.873647	valid_1's auc: 0.832265
[351]	training's auc: 0.873657	valid_1's auc: 0.832286
[352]	training's auc: 0.873694	valid_1's auc: 0.83228
[353]	training's auc: 0.873723	valid_1's auc: 0.832284
[354]	training's auc: 0.873738	valid_1's auc: 0.832299
[355]	training's auc: 0.873741	valid_1's auc: 0.832302
[356]	training's auc: 0.873751	valid_1's auc: 0.832287
[357]	training's auc: 0.873782	valid_1's auc: 0.832404
[358]	training's auc: 0.873807	valid_1's auc: 0.832379
[359]	training's auc: 0.873845	valid_1's auc: 0.832361
[360]	training's auc: 0.873884	valid_1's auc: 0.832372
[361]	training's auc: 0.873913	valid_1's auc: 0.832356
[362]	training's auc: 0.87393	valid_1's auc: 0.832406
[363]	training's auc: 0.873941	valid_1's auc: 0.83243
[364]	training's auc: 0.873943	valid_1's auc: 0.832423
[365]	training's auc: 0.873971	valid_1's auc: 0.832423
[366]	training's auc: 0.87398	valid_1's auc: 0.832425
[367]	training's auc: 0.874012	valid_1's auc: 0.832418
[368]	training's auc: 0.874031	valid_1's auc: 0.832437
[369]	training's auc: 0.874055	valid_1's auc: 0.832413
[370]	training's auc: 0.874091	valid_1's auc: 0.832442
[371]	training's auc: 0.874149	valid_1's auc: 0.832452
[372]	training's auc: 0.87416	valid_1's auc: 0.832435
[373]	training's auc: 0.874171	valid_1's auc: 0.832424
[374]	training's auc: 0.874193	valid_1's auc: 0.832408
[375]	training's auc: 0.874222	valid_1's auc: 0.832416
[376]	training's auc: 0.874257	valid_1's auc: 0.832399
[377]	training's auc: 0.874274	valid_1's auc: 0.832434
[378]	training's auc: 0.874283	valid_1's auc: 0.832426
[379]	training's auc: 0.874317	valid_1's auc: 0.832425
[380]	training's auc: 0.874347	valid_1's auc: 0.832422
[381]	training's auc: 0.874374	valid_1's auc: 0.832416
[382]	training's auc: 0.874386	valid_1's auc: 0.832428
[383]	training's auc: 0.87444	valid_1's auc: 0.832537
[384]	training's auc: 0.874469	valid_1's auc: 0.832541
[385]	training's auc: 0.874523	valid_1's auc: 0.832504
[386]	training's auc: 0.874539	valid_1's auc: 0.83249
[387]	training's auc: 0.874575	valid_1's auc: 0.832533
[388]	training's auc: 0.874609	valid_1's auc: 0.832522
[389]	training's auc: 0.874631	valid_1's auc: 0.832534
[390]	training's auc: 0.874636	valid_1's auc: 0.83254
[391]	training's auc: 0.874655	valid_1's auc: 0.832542
[392]	training's auc: 0.874726	valid_1's auc: 0.832615
[393]	training's auc: 0.874754	valid_1's auc: 0.832613
[394]	training's auc: 0.874756	valid_1's auc: 0.832614
[395]	training's auc: 0.874765	valid_1's auc: 0.832624
[396]	training's auc: 0.874794	valid_1's auc: 0.832593
[397]	training's auc: 0.874816	valid_1's auc: 0.83264
[398]	training's auc: 0.874851	valid_1's auc: 0.832629
[399]	training's auc: 0.874875	valid_1's auc: 0.832648
[400]	training's auc: 0.874907	valid_1's auc: 0.832651
[401]	training's auc: 0.874919	valid_1's auc: 0.83266
[402]	training's auc: 0.874946	valid_1's auc: 0.832647
[403]	training's auc: 0.87499	valid_1's auc: 0.832677
[404]	training's auc: 0.875016	valid_1's auc: 0.832684
[405]	training's auc: 0.87507	valid_1's auc: 0.832761
[406]	training's auc: 0.875099	valid_1's auc: 0.832813
[407]	training's auc: 0.875131	valid_1's auc: 0.832818
[408]	training's auc: 0.875161	valid_1's auc: 0.832816
[409]	training's auc: 0.875188	valid_1's auc: 0.832812
[410]	training's auc: 0.875221	valid_1's auc: 0.832816
[411]	training's auc: 0.875231	valid_1's auc: 0.832802
[412]	training's auc: 0.875242	valid_1's auc: 0.832812
[413]	training's auc: 0.875298	valid_1's auc: 0.832797
[414]	training's auc: 0.875347	valid_1's auc: 0.832811
[415]	training's auc: 0.875377	valid_1's auc: 0.832808
[416]	training's auc: 0.875422	valid_1's auc: 0.83285
[417]	training's auc: 0.875433	valid_1's auc: 0.832839
[418]	training's auc: 0.875461	valid_1's auc: 0.832858
[419]	training's auc: 0.87547	valid_1's auc: 0.832882
[420]	training's auc: 0.875498	valid_1's auc: 0.83285
[421]	training's auc: 0.875533	valid_1's auc: 0.832889
[422]	training's auc: 0.875565	valid_1's auc: 0.83284
[423]	training's auc: 0.875579	valid_1's auc: 0.832849
[424]	training's auc: 0.8756	valid_1's auc: 0.832922
[425]	training's auc: 0.875633	valid_1's auc: 0.832943
[426]	training's auc: 0.875662	valid_1's auc: 0.832905
[427]	training's auc: 0.875679	valid_1's auc: 0.832885
[428]	training's auc: 0.875713	valid_1's auc: 0.832915
[429]	training's auc: 0.875732	valid_1's auc: 0.832965
[430]	training's auc: 0.875735	valid_1's auc: 0.832961
[431]	training's auc: 0.875766	valid_1's auc: 0.832922
[432]	training's auc: 0.87577	valid_1's auc: 0.832915
[433]	training's auc: 0.875793	valid_1's auc: 0.83286
[434]	training's auc: 0.875804	valid_1's auc: 0.832879
[435]	training's auc: 0.875825	valid_1's auc: 0.832879
[436]	training's auc: 0.875838	valid_1's auc: 0.832876
[437]	training's auc: 0.875863	valid_1's auc: 0.832884
[438]	training's auc: 0.875875	valid_1's auc: 0.832895
[439]	training's auc: 0.875891	valid_1's auc: 0.832877
[440]	training's auc: 0.875896	valid_1's auc: 0.832858
[441]	training's auc: 0.875899	valid_1's auc: 0.832857
[442]	training's auc: 0.875905	valid_1's auc: 0.832855
[443]	training's auc: 0.875927	valid_1's auc: 0.832833
[444]	training's auc: 0.875962	valid_1's auc: 0.832799
[445]	training's auc: 0.875968	valid_1's auc: 0.832806
[446]	training's auc: 0.875987	valid_1's auc: 0.832802
