[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.775531	valid_1's auc: 0.725214
[33]	training's auc: 0.86158	valid_1's auc: 0.826786
[34]	training's auc: 0.861702	valid_1's auc: 0.827194
[35]	training's auc: 0.862012	valid_1's auc: 0.827364
[36]	training's auc: 0.862291	valid_1's auc: 0.827857
[37]	training's auc: 0.862679	valid_1's auc: 0.827885
[38]	training's auc: 0.863096	valid_1's auc: 0.82832
[39]	training's auc: 0.863514	valid_1's auc: 0.828478
[40]	training's auc: 0.863979	valid_1's auc: 0.82868
[41]	training's auc: 0.864414	valid_1's auc: 0.828756
[42]	training's auc: 0.864857	valid_1's auc: 0.82921
[43]	training's auc: 0.865053	valid_1's auc: 0.82951
[44]	training's auc: 0.865489	valid_1's auc: 0.829574
[45]	training's auc: 0.865806	valid_1's auc: 0.829563
[46]	training's auc: 0.866095	valid_1's auc: 0.829607
[47]	training's auc: 0.86622	valid_1's auc: 0.829777
[48]	training's auc: 0.866598	valid_1's auc: 0.830031
[49]	training's auc: 0.866924	valid_1's auc: 0.830058
[50]	training's auc: 0.867199	valid_1's auc: 0.829959
[51]	training's auc: 0.867563	valid_1's auc: 0.830181
[52]	training's auc: 0.867704	valid_1's auc: 0.83031
[53]	training's auc: 0.867978	valid_1's auc: 0.830406
[54]	training's auc: 0.868196	valid_1's auc: 0.830727
[55]	training's auc: 0.868374	valid_1's auc: 0.830746
[56]	training's auc: 0.868627	valid_1's auc: 0.830792
[57]	training's auc: 0.868817	valid_1's auc: 0.830642
[58]	training's auc: 0.869077	valid_1's auc: 0.830881
[59]	training's auc: 0.869295	valid_1's auc: 0.830917
[60]	training's auc: 0.869545	valid_1's auc: 0.830879
[61]	training's auc: 0.869724	valid_1's auc: 0.830958
[62]	training's auc: 0.870052	valid_1's auc: 0.831139
[63]	training's auc: 0.870305	valid_1's auc: 0.831434
[64]	training's auc: 0.870531	valid_1's auc: 0.831557
[65]	training's auc: 0.870885	valid_1's auc: 0.831538
[66]	training's auc: 0.870972	valid_1's auc: 0.831644
[67]	training's auc: 0.87105	valid_1's auc: 0.831752
[68]	training's auc: 0.871229	valid_1's auc: 0.831803
[69]	training's auc: 0.871421	valid_1's auc: 0.831822
[70]	training's auc: 0.871605	valid_1's auc: 0.831909
[71]	training's auc: 0.871741	valid_1's auc: 0.831948
[72]	training's auc: 0.871924	valid_1's auc: 0.832029
[73]	training's auc: 0.872119	valid_1's auc: 0.832203
[74]	training's auc: 0.872307	valid_1's auc: 0.832419
[75]	training's auc: 0.872455	valid_1's auc: 0.832466
[76]	training's auc: 0.872667	valid_1's auc: 0.832399
[77]	training's auc: 0.872846	valid_1's auc: 0.832375
[78]	training's auc: 0.872975	valid_1's auc: 0.832329
[79]	training's auc: 0.873148	valid_1's auc: 0.832353
[80]	training's auc: 0.873373	valid_1's auc: 0.83233
[81]	training's auc: 0.873589	valid_1's auc: 0.832658
[82]	training's auc: 0.873668	valid_1's auc: 0.832703
[83]	training's auc: 0.873946	valid_1's auc: 0.832837
[84]	training's auc: 0.874163	valid_1's auc: 0.832881
[85]	training's auc: 0.874485	valid_1's auc: 0.832929
[86]	training's auc: 0.874719	valid_1's auc: 0.833018
[87]	training's auc: 0.874997	valid_1's auc: 0.833057
[88]	training's auc: 0.875217	valid_1's auc: 0.833072
[89]	training's auc: 0.87542	valid_1's auc: 0.832876
[90]	training's auc: 0.875623	valid_1's auc: 0.832958
[91]	training's auc: 0.875777	valid_1's auc: 0.83303
[92]	training's auc: 0.875937	valid_1's auc: 0.833103
[93]	training's auc: 0.876127	valid_1's auc: 0.833257
[94]	training's auc: 0.876267	valid_1's auc: 0.83347
[95]	training's auc: 0.876487	valid_1's auc: 0.833336
[96]	training's auc: 0.876512	valid_1's auc: 0.833413
[97]	training's auc: 0.876769	valid_1's auc: 0.833402
[98]	training's auc: 0.876872	valid_1's auc: 0.83332
[99]	training's auc: 0.877002	valid_1's auc: 0.833469
[100]	training's auc: 0.877301	valid_1's auc: 0.83341
[101]	training's auc: 0.877452	valid_1's auc: 0.83343
[102]	training's auc: 0.877654	valid_1's auc: 0.833404
[103]	training's auc: 0.877789	valid_1's auc: 0.833481
[104]	training's auc: 0.87794	valid_1's auc: 0.833386
[105]	training's auc: 0.878135	valid_1's auc: 0.833405
[106]	training's auc: 0.878288	valid_1's auc: 0.83337
[107]	training's auc: 0.878349	valid_1's auc: 0.833469
[108]	training's auc: 0.878519	valid_1's auc: 0.833528
[109]	training's auc: 0.878637	valid_1's auc: 0.833567
[110]	training's auc: 0.878688	valid_1's auc: 0.833582
[111]	training's auc: 0.87877	valid_1's auc: 0.833641
[112]	training's auc: 0.878871	valid_1's auc: 0.833577
[113]	training's auc: 0.879032	valid_1's auc: 0.83378
[114]	training's auc: 0.879154	valid_1's auc: 0.83369
[115]	training's auc: 0.879268	valid_1's auc: 0.833705
[116]	training's auc: 0.879313	valid_1's auc: 0.833762
[117]	training's auc: 0.879406	valid_1's auc: 0.833731
[118]	training's auc: 0.879517	valid_1's auc: 0.833698
[119]	training's auc: 0.879613	valid_1's auc: 0.833726
[120]	training's auc: 0.879851	valid_1's auc: 0.833638
[121]	training's auc: 0.880025	valid_1's auc: 0.833665
[122]	training's auc: 0.880181	valid_1's auc: 0.833713
[123]	training's auc: 0.88034	valid_1's auc: 0.833632
[124]	training's auc: 0.88048	valid_1's auc: 0.833607
[125]	training's auc: 0.880573	valid_1's auc: 0.833663
[126]	training's auc: 0.880709	valid_1's auc: 0.833676
[127]	training's auc: 0.880825	valid_1's auc: 0.833803
[128]	training's auc: 0.88092	valid_1's auc: 0.833818
[129]	training's auc: 0.880978	valid_1's auc: 0.83393
[130]	training's auc: 0.881098	valid_1's auc: 0.833919
[131]	training's auc: 0.881206	valid_1's auc: 0.834025
[132]	training's auc: 0.881317	valid_1's auc: 0.834014
[133]	training's auc: 0.881465	valid_1's auc: 0.834109
[134]	training's auc: 0.88156	valid_1's auc: 0.834022
[135]	training's auc: 0.88171	valid_1's auc: 0.834139
[136]	training's auc: 0.881786	valid_1's auc: 0.834146
[137]	training's auc: 0.881912	valid_1's auc: 0.834181
[138]	training's auc: 0.882008	valid_1's auc: 0.834143
[139]	training's auc: 0.882134	valid_1's auc: 0.834307
[140]	training's auc: 0.882227	valid_1's auc: 0.834402
[141]	training's auc: 0.882268	valid_1's auc: 0.834447
[142]	training's auc: 0.882434	valid_1's auc: 0.834348
[143]	training's auc: 0.882523	valid_1's auc: 0.834387
[144]	training's auc: 0.882629	valid_1's auc: 0.834338
[145]	training's auc: 0.882663	valid_1's auc: 0.834419
[146]	training's auc: 0.882785	valid_1's auc: 0.834542
[147]	training's auc: 0.882872	valid_1's auc: 0.834536
[148]	training's auc: 0.883003	valid_1's auc: 0.834537
[149]	training's auc: 0.883092	valid_1's auc: 0.83449
[150]	training's auc: 0.883199	valid_1's auc: 0.834468
[151]	training's auc: 0.883346	valid_1's auc: 0.834394
[152]	training's auc: 0.883417	valid_1's auc: 0.834285
[153]	training's auc: 0.883589	valid_1's auc: 0.834338
[154]	training's auc: 0.883669	valid_1's auc: 0.834274
[155]	training's auc: 0.883728	valid_1's auc: 0.834338
[156]	training's auc: 0.883798	valid_1's auc: 0.834381
[157]	training's auc: 0.883881	valid_1's auc: 0.834381
[158]	training's auc: 0.884045	valid_1's auc: 0.834413
[159]	training's auc: 0.884153	valid_1's auc: 0.834558
[160]	training's auc: 0.884229	valid_1's auc: 0.834479
[161]	training's auc: 0.884369	valid_1's auc: 0.834494
[162]	training's auc: 0.884535	valid_1's auc: 0.834513
[163]	training's auc: 0.884626	valid_1's auc: 0.834507
[164]	training's auc: 0.884788	valid_1's auc: 0.834521
[165]	training's auc: 0.884824	valid_1's auc: 0.834487
[166]	training's auc: 0.884856	valid_1's auc: 0.834444
[167]	training's auc: 0.884979	valid_1's auc: 0.834405
[168]	training's auc: 0.885022	valid_1's auc: 0.834457
[169]	training's auc: 0.885165	valid_1's auc: 0.834425
[170]	training's auc: 0.885298	valid_1's auc: 0.834529
[171]	training's auc: 0.885427	valid_1's auc: 0.834583
[172]	training's auc: 0.885526	valid_1's auc: 0.834605
[173]	training's auc: 0.885587	valid_1's auc: 0.834569
[174]	training's auc: 0.885691	valid_1's auc: 0.834545
[175]	training's auc: 0.885723	valid_1's auc: 0.83455
[176]	training's auc: 0.88579	valid_1's auc: 0.83454
[177]	training's auc: 0.885895	valid_1's auc: 0.83457
[178]	training's auc: 0.885973	valid_1's auc: 0.834639
[179]	training's auc: 0.886106	valid_1's auc: 0.834658
[180]	training's auc: 0.886201	valid_1's auc: 0.834603
[181]	training's auc: 0.886297	valid_1's auc: 0.834539
[182]	training's auc: 0.886389	valid_1's auc: 0.834549
[183]	training's auc: 0.886524	valid_1's auc: 0.834423
[184]	training's auc: 0.88669	valid_1's auc: 0.834353
[185]	training's auc: 0.886768	valid_1's auc: 0.83431
[186]	training's auc: 0.88685	valid_1's auc: 0.834288
[187]	training's auc: 0.886877	valid_1's auc: 0.834357
[188]	training's auc: 0.886941	valid_1's auc: 0.83436
[189]	training's auc: 0.887068	valid_1's auc: 0.834459
[190]	training's auc: 0.887133	valid_1's auc: 0.834475
[191]	training's auc: 0.88727	valid_1's auc: 0.834414
[192]	training's auc: 0.887359	valid_1's auc: 0.834429
[193]	training's auc: 0.887473	valid_1's auc: 0.834361
[194]	training's auc: 0.887537	valid_1's auc: 0.834365
[195]	training's auc: 0.88761	valid_1's auc: 0.83431
[196]	training's auc: 0.887755	valid_1's auc: 0.83414
[197]	training's auc: 0.887826	valid_1's auc: 0.834151
[198]	training's auc: 0.887947	valid_1's auc: 0.834119
[199]	training's auc: 0.888045	valid_1's auc: 0.834092
[200]	training's auc: 0.888092	valid_1's auc: 0.834167
[201]	training's auc: 0.888185	valid_1's auc: 0.834095
[202]	training's auc: 0.888257	valid_1's auc: 0.834053
[203]	training's auc: 0.88828	valid_1's auc: 0.834134
[204]	training's auc: 0.888418	valid_1's auc: 0.834148
[205]	training's auc: 0.888479	valid_1's auc: 0.834075
[206]	training's auc: 0.888543	valid_1's auc: 0.834067
[207]	training's auc: 0.888606	valid_1's auc: 0.834108
[208]	training's auc: 0.888625	valid_1's auc: 0.834083
[209]	training's auc: 0.888754	valid_1's auc: 0.834134
[210]	training's auc: 0.888871	valid_1's auc: 0.834193
[211]	training's auc: 0.888977	valid_1's auc: 0.834105
[212]	training's auc: 0.889046	valid_1's auc: 0.834086
[213]	training's auc: 0.8891	valid_1's auc: 0.834042
[214]	training's auc: 0.889202	valid_1's auc: 0.833991
[215]	training's auc: 0.889259	valid_1's auc: 0.834035
[216]	training's auc: 0.889321	valid_1's auc: 0.83408
[217]	training's auc: 0.889395	valid_1's auc: 0.834105
[218]	training's auc: 0.889465	valid_1's auc: 0.834096
[219]	training's auc: 0.889536	valid_1's auc: 0.834241
[220]	training's auc: 0.889642	valid_1's auc: 0.834254
[221]	training's auc: 0.889729	valid_1's auc: 0.834251
[222]	training's auc: 0.889822	valid_1's auc: 0.834191
[223]	training's auc: 0.88991	valid_1's auc: 0.834236
[224]	training's auc: 0.889972	valid_1's auc: 0.834282
[225]	training's auc: 0.890106	valid_1's auc: 0.834254
[226]	training's auc: 0.890124	valid_1's auc: 0.834335
[227]	training's auc: 0.890209	valid_1's auc: 0.834327
[228]	training's auc: 0.89023	valid_1's auc: 0.834362
[229]	training's auc: 0.890323	valid_1's auc: 0.834374
[230]	training's auc: 0.89039	valid_1's auc: 0.834314
[231]	training's auc: 0.89049	valid_1's auc: 0.834185
[232]	training's auc: 0.890612	valid_1's auc: 0.834143
[233]	training's auc: 0.890655	valid_1's auc: 0.834108
[234]	training's auc: 0.890722	valid_1's auc: 0.834163
[235]	training's auc: 0.89075	valid_1's auc: 0.834159
[236]	training's auc: 0.89082	valid_1's auc: 0.834152
[237]	training's auc: 0.890847	valid_1's auc: 0.834165
[238]	training's auc: 0.890911	valid_1's auc: 0.834194
[239]	training's auc: 0.891008	valid_1's auc: 0.834154
[240]	training's auc: 0.891029	valid_1's auc: 0.834178
[241]	training's auc: 0.891101	valid_1's auc: 0.83416
[242]	training's auc: 0.891181	valid_1's auc: 0.834186
[243]	training's auc: 0.891282	valid_1's auc: 0.834166
[244]	training's auc: 0.891334	valid_1's auc: 0.83412
[245]	training's auc: 0.891389	valid_1's auc: 0.834142
[246]	training's auc: 0.89144	valid_1's auc: 0.834219
[247]	training's auc: 0.891465	valid_1's auc: 0.834216
[248]	training's auc: 0.891494	valid_1's auc: 0.834211
[249]	training's auc: 0.891524	valid_1's auc: 0.83415
[250]	training's auc: 0.891578	valid_1's auc: 0.834204
[251]	training's auc: 0.891676	valid_1's auc: 0.834164
[252]	training's auc: 0.891745	valid_1's auc: 0.834188
[253]	training's auc: 0.891774	valid_1's auc: 0.834217
[254]	training's auc: 0.891872	valid_1's auc: 0.834238
[255]	training's auc: 0.891958	valid_1's auc: 0.834234
[256]	training's auc: 0.892007	valid_1's auc: 0.834179
[257]	training's auc: 0.892082	valid_1's auc: 0.834147
[258]	training's auc: 0.89216	valid_1's auc: 0.834329
[259]	training's auc: 0.892223	valid_1's auc: 0.834349
[260]	training's auc: 0.892298	valid_1's auc: 0.834348
[261]	training's auc: 0.89236	valid_1's auc: 0.834365
[262]	training's auc: 0.892418	valid_1's auc: 0.834361
[263]	training's auc: 0.892531	valid_1's auc: 0.834344
[264]	training's auc: 0.892564	valid_1's auc: 0.834363
[265]	training's auc: 0.89262	valid_1's auc: 0.834315
[266]	training's auc: 0.892716	valid_1's auc: 0.834266
[267]	training's auc: 0.892825	valid_1's auc: 0.834272
[268]	training's auc: 0.892886	valid_1's auc: 0.834348
[269]	training's auc: 0.892936	valid_1's auc: 0.834369
Early stopping, best iteration is:
[179]	training's auc: 0.886106	valid_1's auc: 0.834658
VALID AUC : 0.8346583079169949 ACC : 0.7577264176296694
