[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[1]	training's auc: 0.823661	valid_1's auc: 0.822413
[33]	training's auc: 0.861726	valid_1's auc: 0.853908
[34]	training's auc: 0.86227	valid_1's auc: 0.854191
[35]	training's auc: 0.862757	valid_1's auc: 0.85441
[36]	training's auc: 0.863145	valid_1's auc: 0.854493
[37]	training's auc: 0.86336	valid_1's auc: 0.854593
[38]	training's auc: 0.863804	valid_1's auc: 0.854832
[39]	training's auc: 0.86424	valid_1's auc: 0.855024
[40]	training's auc: 0.864625	valid_1's auc: 0.855219
[41]	training's auc: 0.864972	valid_1's auc: 0.855327
[42]	training's auc: 0.865224	valid_1's auc: 0.855423
[43]	training's auc: 0.86546	valid_1's auc: 0.855463
[44]	training's auc: 0.865726	valid_1's auc: 0.855702
[45]	training's auc: 0.86604	valid_1's auc: 0.855818
[46]	training's auc: 0.866371	valid_1's auc: 0.855913
[47]	training's auc: 0.86663	valid_1's auc: 0.855963
[48]	training's auc: 0.866891	valid_1's auc: 0.855972
[49]	training's auc: 0.867098	valid_1's auc: 0.856045
[50]	training's auc: 0.867364	valid_1's auc: 0.856126
[51]	training's auc: 0.867651	valid_1's auc: 0.856281
[52]	training's auc: 0.867782	valid_1's auc: 0.856295
[53]	training's auc: 0.867986	valid_1's auc: 0.856331
[54]	training's auc: 0.868399	valid_1's auc: 0.856481
[55]	training's auc: 0.868703	valid_1's auc: 0.85654
[56]	training's auc: 0.868895	valid_1's auc: 0.856556
[57]	training's auc: 0.869052	valid_1's auc: 0.856695
[58]	training's auc: 0.869182	valid_1's auc: 0.856685
[59]	training's auc: 0.869344	valid_1's auc: 0.856746
[60]	training's auc: 0.869524	valid_1's auc: 0.856768
[61]	training's auc: 0.869787	valid_1's auc: 0.856897
[62]	training's auc: 0.870008	valid_1's auc: 0.856939
[63]	training's auc: 0.870257	valid_1's auc: 0.856979
[64]	training's auc: 0.870465	valid_1's auc: 0.857037
[65]	training's auc: 0.870636	valid_1's auc: 0.857004
[66]	training's auc: 0.870933	valid_1's auc: 0.857193
[67]	training's auc: 0.871212	valid_1's auc: 0.857285
[68]	training's auc: 0.871309	valid_1's auc: 0.857294
[69]	training's auc: 0.871513	valid_1's auc: 0.85742
[70]	training's auc: 0.87173	valid_1's auc: 0.857465
[71]	training's auc: 0.871878	valid_1's auc: 0.85746
[72]	training's auc: 0.872024	valid_1's auc: 0.857479
[73]	training's auc: 0.872242	valid_1's auc: 0.857516
[74]	training's auc: 0.872395	valid_1's auc: 0.857485
[75]	training's auc: 0.872601	valid_1's auc: 0.857509
[76]	training's auc: 0.872863	valid_1's auc: 0.857568
[77]	training's auc: 0.872972	valid_1's auc: 0.857579
[78]	training's auc: 0.873239	valid_1's auc: 0.85767
[79]	training's auc: 0.873376	valid_1's auc: 0.857677
[80]	training's auc: 0.873554	valid_1's auc: 0.857744
[81]	training's auc: 0.873829	valid_1's auc: 0.857825
[82]	training's auc: 0.873906	valid_1's auc: 0.857821
[83]	training's auc: 0.874121	valid_1's auc: 0.857876
[84]	training's auc: 0.874341	valid_1's auc: 0.857918
[85]	training's auc: 0.874474	valid_1's auc: 0.857936
[86]	training's auc: 0.874701	valid_1's auc: 0.857971
[87]	training's auc: 0.874868	valid_1's auc: 0.857926
[88]	training's auc: 0.875066	valid_1's auc: 0.857911
[89]	training's auc: 0.87529	valid_1's auc: 0.857963
[90]	training's auc: 0.875453	valid_1's auc: 0.857992
[91]	training's auc: 0.87554	valid_1's auc: 0.857974
[92]	training's auc: 0.875813	valid_1's auc: 0.858124
[93]	training's auc: 0.875912	valid_1's auc: 0.858162
[94]	training's auc: 0.876108	valid_1's auc: 0.858195
[95]	training's auc: 0.876332	valid_1's auc: 0.858256
[96]	training's auc: 0.876444	valid_1's auc: 0.858274
[97]	training's auc: 0.876617	valid_1's auc: 0.858302
[98]	training's auc: 0.876734	valid_1's auc: 0.858288
[99]	training's auc: 0.876811	valid_1's auc: 0.858316
[100]	training's auc: 0.876991	valid_1's auc: 0.858338
[101]	training's auc: 0.877111	valid_1's auc: 0.858345
[102]	training's auc: 0.877229	valid_1's auc: 0.858361
[103]	training's auc: 0.877333	valid_1's auc: 0.858374
[104]	training's auc: 0.87751	valid_1's auc: 0.858382
[105]	training's auc: 0.877704	valid_1's auc: 0.858402
[106]	training's auc: 0.877816	valid_1's auc: 0.858421
[107]	training's auc: 0.877968	valid_1's auc: 0.858478
[108]	training's auc: 0.87815	valid_1's auc: 0.858537
[109]	training's auc: 0.87827	valid_1's auc: 0.858573
[110]	training's auc: 0.878492	valid_1's auc: 0.858628
[111]	training's auc: 0.878656	valid_1's auc: 0.858699
[112]	training's auc: 0.87873	valid_1's auc: 0.85871
[113]	training's auc: 0.878872	valid_1's auc: 0.858708
[114]	training's auc: 0.879003	valid_1's auc: 0.858693
[115]	training's auc: 0.879138	valid_1's auc: 0.858707
[116]	training's auc: 0.879186	valid_1's auc: 0.85872
[117]	training's auc: 0.879279	valid_1's auc: 0.858718
[118]	training's auc: 0.879333	valid_1's auc: 0.858704
[119]	training's auc: 0.879454	valid_1's auc: 0.858713
[120]	training's auc: 0.879537	valid_1's auc: 0.858721
[121]	training's auc: 0.879709	valid_1's auc: 0.858713
[122]	training's auc: 0.879876	valid_1's auc: 0.858737
[123]	training's auc: 0.880007	valid_1's auc: 0.858756
[124]	training's auc: 0.880222	valid_1's auc: 0.858792
[125]	training's auc: 0.880279	valid_1's auc: 0.858781
[126]	training's auc: 0.880419	valid_1's auc: 0.858761
[127]	training's auc: 0.880583	valid_1's auc: 0.858778
[128]	training's auc: 0.880705	valid_1's auc: 0.858778
[129]	training's auc: 0.880865	valid_1's auc: 0.85877
[130]	training's auc: 0.880968	valid_1's auc: 0.858787
[131]	training's auc: 0.881161	valid_1's auc: 0.858786
[132]	training's auc: 0.881327	valid_1's auc: 0.858808
[133]	training's auc: 0.881483	valid_1's auc: 0.858808
[134]	training's auc: 0.881567	valid_1's auc: 0.858821
[135]	training's auc: 0.881646	valid_1's auc: 0.858856
[136]	training's auc: 0.881779	valid_1's auc: 0.85892
[137]	training's auc: 0.881835	valid_1's auc: 0.858901
[138]	training's auc: 0.881924	valid_1's auc: 0.858885
[139]	training's auc: 0.882025	valid_1's auc: 0.858875
[140]	training's auc: 0.882146	valid_1's auc: 0.858878
[141]	training's auc: 0.88227	valid_1's auc: 0.858864
[142]	training's auc: 0.882396	valid_1's auc: 0.858884
[143]	training's auc: 0.882486	valid_1's auc: 0.858861
[144]	training's auc: 0.882556	valid_1's auc: 0.858942
[145]	training's auc: 0.882721	valid_1's auc: 0.858982
[146]	training's auc: 0.882858	valid_1's auc: 0.858969
[147]	training's auc: 0.88291	valid_1's auc: 0.858943
[148]	training's auc: 0.883071	valid_1's auc: 0.858944
[149]	training's auc: 0.88316	valid_1's auc: 0.858916
[150]	training's auc: 0.883259	valid_1's auc: 0.858961
[151]	training's auc: 0.883376	valid_1's auc: 0.858955
[152]	training's auc: 0.883583	valid_1's auc: 0.859007
[153]	training's auc: 0.883649	valid_1's auc: 0.859029
[154]	training's auc: 0.88373	valid_1's auc: 0.859049
[155]	training's auc: 0.883785	valid_1's auc: 0.859054
[156]	training's auc: 0.883875	valid_1's auc: 0.859051
[157]	training's auc: 0.883973	valid_1's auc: 0.859031
[158]	training's auc: 0.884088	valid_1's auc: 0.859085
[159]	training's auc: 0.884205	valid_1's auc: 0.859134
[160]	training's auc: 0.884292	valid_1's auc: 0.859141
[161]	training's auc: 0.884348	valid_1's auc: 0.859147
[162]	training's auc: 0.884479	valid_1's auc: 0.859137
[163]	training's auc: 0.884564	valid_1's auc: 0.859125
[164]	training's auc: 0.884635	valid_1's auc: 0.85912
[165]	training's auc: 0.884714	valid_1's auc: 0.859108
[166]	training's auc: 0.884849	valid_1's auc: 0.859109
[167]	training's auc: 0.884949	valid_1's auc: 0.859112
[168]	training's auc: 0.885019	valid_1's auc: 0.859146
[169]	training's auc: 0.88515	valid_1's auc: 0.859143
[170]	training's auc: 0.885283	valid_1's auc: 0.859156
[171]	training's auc: 0.885375	valid_1's auc: 0.859151
[172]	training's auc: 0.885431	valid_1's auc: 0.859152
[173]	training's auc: 0.88544	valid_1's auc: 0.859166
[174]	training's auc: 0.885508	valid_1's auc: 0.859168
[175]	training's auc: 0.885628	valid_1's auc: 0.85918
[176]	training's auc: 0.885708	valid_1's auc: 0.859177
[177]	training's auc: 0.885814	valid_1's auc: 0.859162
[178]	training's auc: 0.885927	valid_1's auc: 0.859203
[179]	training's auc: 0.886043	valid_1's auc: 0.859208
[180]	training's auc: 0.88617	valid_1's auc: 0.859203
[181]	training's auc: 0.88618	valid_1's auc: 0.859207
[182]	training's auc: 0.886342	valid_1's auc: 0.859249
[183]	training's auc: 0.88644	valid_1's auc: 0.859211
[184]	training's auc: 0.886522	valid_1's auc: 0.859217
[185]	training's auc: 0.886707	valid_1's auc: 0.85927
[186]	training's auc: 0.88681	valid_1's auc: 0.859267
[187]	training's auc: 0.886937	valid_1's auc: 0.859289
[188]	training's auc: 0.887059	valid_1's auc: 0.85925
[189]	training's auc: 0.887159	valid_1's auc: 0.859274
[190]	training's auc: 0.887269	valid_1's auc: 0.8593
[191]	training's auc: 0.887307	valid_1's auc: 0.859299
[192]	training's auc: 0.887391	valid_1's auc: 0.859348
[193]	training's auc: 0.88746	valid_1's auc: 0.859374
[194]	training's auc: 0.88755	valid_1's auc: 0.859381
[195]	training's auc: 0.887594	valid_1's auc: 0.859356
[196]	training's auc: 0.887608	valid_1's auc: 0.859363
[197]	training's auc: 0.887683	valid_1's auc: 0.859369
[198]	training's auc: 0.887771	valid_1's auc: 0.859345
[199]	training's auc: 0.887868	valid_1's auc: 0.85937
[200]	training's auc: 0.887909	valid_1's auc: 0.859357
[201]	training's auc: 0.888026	valid_1's auc: 0.859351
[202]	training's auc: 0.888113	valid_1's auc: 0.859367
[203]	training's auc: 0.888191	valid_1's auc: 0.859367
[204]	training's auc: 0.888301	valid_1's auc: 0.859381
[205]	training's auc: 0.888399	valid_1's auc: 0.859348
[206]	training's auc: 0.888475	valid_1's auc: 0.859356
[207]	training's auc: 0.888528	valid_1's auc: 0.859345
[208]	training's auc: 0.888637	valid_1's auc: 0.859343
[209]	training's auc: 0.888719	valid_1's auc: 0.859348
[210]	training's auc: 0.888779	valid_1's auc: 0.859381
[211]	training's auc: 0.888815	valid_1's auc: 0.859379
[212]	training's auc: 0.888825	valid_1's auc: 0.859377
[213]	training's auc: 0.888892	valid_1's auc: 0.859324
[214]	training's auc: 0.888958	valid_1's auc: 0.859321
[215]	training's auc: 0.889031	valid_1's auc: 0.859341
[216]	training's auc: 0.889187	valid_1's auc: 0.859402
[217]	training's auc: 0.889274	valid_1's auc: 0.859412
[218]	training's auc: 0.889376	valid_1's auc: 0.859401
[219]	training's auc: 0.889494	valid_1's auc: 0.859422
[220]	training's auc: 0.889634	valid_1's auc: 0.859433
[221]	training's auc: 0.889722	valid_1's auc: 0.859424
[222]	training's auc: 0.889833	valid_1's auc: 0.859406
[223]	training's auc: 0.889923	valid_1's auc: 0.859445
[224]	training's auc: 0.889932	valid_1's auc: 0.859449
[225]	training's auc: 0.890039	valid_1's auc: 0.85943
[226]	training's auc: 0.890168	valid_1's auc: 0.859452
[227]	training's auc: 0.890212	valid_1's auc: 0.859495
[228]	training's auc: 0.890267	valid_1's auc: 0.859513
[229]	training's auc: 0.89031	valid_1's auc: 0.85951
[230]	training's auc: 0.890327	valid_1's auc: 0.859508
[231]	training's auc: 0.8904	valid_1's auc: 0.85952
[232]	training's auc: 0.89049	valid_1's auc: 0.859511
[233]	training's auc: 0.890563	valid_1's auc: 0.859522
[234]	training's auc: 0.890652	valid_1's auc: 0.859514
[235]	training's auc: 0.890736	valid_1's auc: 0.859506
[236]	training's auc: 0.89083	valid_1's auc: 0.859502
[237]	training's auc: 0.890925	valid_1's auc: 0.859503
[238]	training's auc: 0.890963	valid_1's auc: 0.859484
[239]	training's auc: 0.891064	valid_1's auc: 0.859459
[240]	training's auc: 0.891154	valid_1's auc: 0.859447
[241]	training's auc: 0.891164	valid_1's auc: 0.859448
[242]	training's auc: 0.89132	valid_1's auc: 0.859521
[243]	training's auc: 0.891423	valid_1's auc: 0.8595
[244]	training's auc: 0.891517	valid_1's auc: 0.859492
[245]	training's auc: 0.891622	valid_1's auc: 0.859514
[246]	training's auc: 0.891725	valid_1's auc: 0.859576
[247]	training's auc: 0.891798	valid_1's auc: 0.859568
[248]	training's auc: 0.891814	valid_1's auc: 0.859581
[249]	training's auc: 0.891858	valid_1's auc: 0.859579
[250]	training's auc: 0.891899	valid_1's auc: 0.859573
[251]	training's auc: 0.891971	valid_1's auc: 0.859567
[252]	training's auc: 0.892051	valid_1's auc: 0.859571
[253]	training's auc: 0.892099	valid_1's auc: 0.859571
[254]	training's auc: 0.892136	valid_1's auc: 0.859563
[255]	training's auc: 0.892209	valid_1's auc: 0.85958
[256]	training's auc: 0.8923	valid_1's auc: 0.859569
[257]	training's auc: 0.892396	valid_1's auc: 0.859559
[258]	training's auc: 0.892484	valid_1's auc: 0.859573
[259]	training's auc: 0.892561	valid_1's auc: 0.859567
[260]	training's auc: 0.892596	valid_1's auc: 0.85956
[261]	training's auc: 0.892701	valid_1's auc: 0.859571
[262]	training's auc: 0.892809	valid_1's auc: 0.859575
[263]	training's auc: 0.892889	valid_1's auc: 0.859534
[264]	training's auc: 0.892899	valid_1's auc: 0.859536
[265]	training's auc: 0.892981	valid_1's auc: 0.859548
[266]	training's auc: 0.893092	valid_1's auc: 0.859548
[267]	training's auc: 0.893192	valid_1's auc: 0.859547
[268]	training's auc: 0.893267	valid_1's auc: 0.859537
[269]	training's auc: 0.893293	valid_1's auc: 0.859556
[270]	training's auc: 0.893378	valid_1's auc: 0.859546
[271]	training's auc: 0.893465	valid_1's auc: 0.859533
[272]	training's auc: 0.893534	valid_1's auc: 0.859555
[273]	training's auc: 0.893544	valid_1's auc: 0.859564
[274]	training's auc: 0.89357	valid_1's auc: 0.85956
[275]	training's auc: 0.893602	valid_1's auc: 0.859563
[276]	training's auc: 0.893646	valid_1's auc: 0.85955
[277]	training's auc: 0.893717	valid_1's auc: 0.859527
[278]	training's auc: 0.893764	valid_1's auc: 0.85953
Early stopping, best iteration is:
[248]	training's auc: 0.891814	valid_1's auc: 0.859581
VALID AUC : 0.8595808617612934 ACC : 0.8035835867641051
